OMIE - Mercado de electricidad;Fecha Emisión :25/03/2016 - 13:21;;26/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  30,00;  24,32;  21,11;  20,00;  20,00;  20,01;  20,01;  21,69;  22,49;  24,00;  23,03;  20,00;  19,06;  18,09;  16,28;  13,56;  13,60;  14,38;  17,63;  22,12;  21,69;  23,00;  20,00;  18,60;
Precio marginal en el sistema portugués (EUR/MWh);  30,00;  24,32;  21,11;  20,00;  20,00;  20,01;  20,01;  21,69;  22,49;  24,00;  23,03;  20,00;  19,06;  18,09;  16,28;  14,00;  14,38;  14,38;  17,63;  22,12;  21,69;  23,00;  20,00;  18,60;
Energía total de compra sistema español (MWh);  18006,7;  16949,5;  16076,6;  15526,8;  15361,7;  15265,5;  15950,2;  16115,9;  17603,8;  19581,1;  21342,5;  21643,3;  21676,6;  22923,4;  22711,2;  21767,3;  21031,4;  20733,5;  20404,7;  20746,6;  22652,2;  22912,3;  22160,0;  21408,3;
Energía total de venta sistema español (MWh);  17344,6;  16690,1;  16420,6;  16263,3;  16449,7;  16480,1;  16346,4;  16518,3;  17073,1;  17848,2;  18749,1;  19213,6;  19911,6;  20650,8;  21290,0;  21535,0;  21373,1;  20864,9;  20274,0;  20524,8;  20113,0;  20312,4;  19900,9;  19414,9;
Energía total de compra sistema portugués (MWh);   5041,3;   4578,0;   4253,3;   4025,8;   3915,6;   3870,7;   3808,6;   3820,0;   4053,5;   4514,8;   4944,5;   5179,1;   5269,3;   5749,6;   5756,6;   6204,1;   6005,5;   5908,2;   5474,0;   5302,3;   5662,5;   5707,8;   5461,8;   5273,5;
Energía total de venta sistema portugués (MWh);   4964,6;   3991,2;   3048,7;   3076,2;   3094,0;   3121,4;   3406,2;   3671,6;   4194,3;   5102,2;   5337,9;   5408,8;   5664,6;   5822,2;   5467,3;   5254,1;   5305,5;   5292,8;   5748,9;   6218,4;   6001,7;   6107,7;   5520,9;   5066,9;
Energía total del mercado Ibérico (MWh);  23048,0;  21527,5;  20329,9;  19552,6;  19277,3;  19136,2;  19758,8;  19935,9;  21657,3;  24095,9;  26287,0;  26822,4;  26945,9;  28673,0;  28467,8;  27971,4;  27036,9;  26641,7;  25878,7;  26048,9;  28314,7;  28620,1;  27621,8;  26681,8;
Energía total con bilaterales del mercado Ibérico (MWh);  29012,3;  27088,1;  25579,5;  24665,7;  24322,6;  24202,3;  24978,1;  25273,5;  27349,3;  30388,0;  32976,5;  33555,0;  33617,8;  35393,0;  35001,7;  34171,6;  33049,8;  32557,8;  31890,9;  32616,8;  35378,5;  35704,4;  34278,7;  32880,8;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    140,8;    587,4;    393,4;    229,7;    395,3;     72,6;      0,0;      0,0;      0,0;      0,0;    274,9;    916,1;    339,2;    399,9;     59,1;      0,0;
Exportación de España a Portugal (MWh);     76,7;    586,8;   1204,6;    949,6;    821,6;    749,3;    402,4;    148,4;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    289,3;    950,0;    700,0;    615,4;      0,0;      0,0;      0,0;      0,0;      0,0;    206,6;
;;;;;;;;;;;;;;;;;;;;;;;;;
