OMIE - Mercado de electricidad;Fecha Emisión :27/03/2016 - 13:20;;28/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  12,88;   8,28;   7,43;   6,50;   5,27;   6,28;   5,86;   8,00;  14,82;  15,69;  18,80;  15,05;  14,19;  14,82;  13,00;   9,20;   8,00;  11,16;  15,00;  20,94;  30,00;  30,00;  28,01;  21,19;
Precio marginal en el sistema portugués (EUR/MWh);  12,88;  13,69;  10,69;  14,19;  14,19;  14,19;  10,43;   8,00;  14,82;  15,69;  18,80;  15,05;  14,19;  14,82;  13,00;   9,20;   8,00;  11,16;  15,00;  20,94;  30,00;  30,00;  28,01;  21,19;
Energía total de compra sistema español (MWh);  19467,2;  18055,5;  17604,4;  17184,7;  17571,9;  17426,5;  19526,5;  20941,5;  22304,8;  23211,1;  24009,7;  24104,9;  23943,9;  24164,2;  23651,4;  23224,4;  22843,0;  22319,8;  22373,9;  23572,6;  24422,5;  24535,3;  23426,7;  21638,1;
Energía total de venta sistema español (MWh);  18994,6;  19081,6;  18903,0;  18258,0;  18261,1;  18461,9;  18366,7;  18938,8;  19749,0;  20877,6;  22055,1;  22625,8;  23044,0;  23347,9;  23130,4;  22768,2;  22480,5;  21772,3;  21328,7;  21737,4;  21896,1;  21974,3;  20800,8;  19875,0;
Energía total de compra sistema portugués (MWh);   5492,9;   5119,8;   4817,4;   4477,7;   4420,2;   4451,6;   4649,9;   4906,9;   4857,9;   5128,7;   5518,3;   6030,3;   6502,4;   6340,3;   6547,7;   6660,5;   6726,2;   6551,3;   6036,0;   5923,5;   6243,2;   6215,6;   5997,0;   5658,4;
Energía total de venta sistema portugués (MWh);   4382,4;   4419,8;   4417,4;   4277,7;   4270,2;   4301,6;   4399,9;   4788,2;   5263,7;   5312,2;   5322,9;   5359,4;   5252,3;   5006,6;   4918,7;   4966,7;   4938,7;   4948,8;   4931,2;   5608,7;   6619,6;   6626,6;   6472,9;   5271,5;
Energía total del mercado Ibérico (MWh);  24960,1;  23175,3;  22421,8;  21662,4;  21992,1;  21878,1;  24176,4;  25848,4;  27162,7;  28339,8;  29528,0;  30135,2;  30446,3;  30504,5;  30199,1;  29884,9;  29569,2;  28871,1;  28409,9;  29496,1;  30665,7;  30750,9;  29423,7;  27296,5;
Energía total con bilaterales del mercado Ibérico (MWh);  29695,2;  27531,7;  26505,3;  25615,1;  25894,6;  25854,5;  28454,3;  30531,9;  32249,9;  33807,9;  35189,0;  35782,8;  36053,9;  36041,8;  35712,8;  35104,8;  34678,6;  33934,4;  33547,1;  35161,4;  36791,7;  36910,1;  35211,7;  32360,5;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    405,8;    183,5;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    376,4;    411,0;    475,9;      0,0;
Exportación de España a Portugal (MWh);   1110,5;    700,0;    400,0;    200,0;    150,0;    150,0;    250,0;    118,7;      0,0;      0,0;    195,4;    670,9;   1250,1;   1333,7;   1629,0;   1693,8;   1787,5;   1602,5;   1104,8;    314,8;      0,0;      0,0;      0,0;    386,9;
;;;;;;;;;;;;;;;;;;;;;;;;;
