OMIE - Mercado de electricidad;Fecha Emisión :15/04/2016 - 13:32;;16/04/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  21,30;  19,33;  18,10;  17,40;  17,19;  17,19;  18,19;  18,00;  18,95;  20,15;  19,80;  19,21;  18,34;  15,67;  14,69;  13,66;  12,69;  14,26;  17,69;  19,80;  23,70;  24,31;  23,94;  21,25;
Precio marginal en el sistema portugués (EUR/MWh);  18,19;  18,69;  18,10;  17,40;  17,19;  17,19;  18,19;  18,00;  17,19;  17,69;  18,19;  18,19;  17,69;  15,67;  14,69;  13,66;  12,69;  14,26;  17,69;  19,80;  23,70;  24,31;  23,94;  21,25;
Energía total de compra sistema español (MWh);  17755,3;  16934,2;  16510,4;  15865,0;  15537,7;  15193,8;  15311,8;  15991,5;  16714,8;  18122,9;  19950,6;  20404,6;  20642,2;  21373,6;  20971,8;  19782,2;  18870,8;  18587,9;  17640,0;  16529,0;  17145,0;  19097,0;  17994,6;  16830,8;
Energía total de venta sistema español (MWh);  17906,0;  17634,2;  17123,3;  16426,9;  16041,5;  15779,9;  15565,1;  16272,1;  17414,8;  18464,0;  19145,1;  19400,3;  19931,5;  19234,2;  19046,5;  19144,7;  19033,8;  18600,1;  18899,4;  17756,6;  18444,4;  17563,2;  17468,7;  17224,7;
Energía total de compra sistema portugués (MWh);   5311,5;   4841,5;   4521,1;   4261,4;   4133,1;   4069,3;   4070,4;   4142,2;   4358,8;   4737,9;   5150,4;   5383,0;   5524,9;   5511,2;   5407,4;   5465,6;   5484,4;   5133,8;   5132,3;   5173,0;   5417,8;   5636,7;   5596,4;   5342,8;
Energía total de venta sistema portugués (MWh);   7211,5;   6741,5;   6458,2;   6249,5;   6089,3;   6033,2;   6367,1;   6411,6;   6258,8;   6637,9;   7050,4;   7283,0;   7424,9;   6794,2;   6533,5;   5852,0;   5663,3;   5804,7;   6472,9;   6545,4;   6526,4;   6410,2;   6273,0;   6083,7;
Energía total del mercado Ibérico (MWh);  23066,8;  21775,7;  21031,5;  20126,4;  19670,8;  19263,1;  19382,2;  20133,7;  21073,6;  22860,8;  25101,0;  25787,6;  26167,1;  26884,8;  26379,2;  25247,8;  24355,2;  23721,7;  22772,3;  21702,0;  22562,8;  24733,7;  23591,0;  22173,6;
Energía total con bilaterales del mercado Ibérico (MWh);  31640,6;  29936,4;  28893,7;  27847,0;  27324,7;  26871,1;  27184,5;  28209,7;  29633,4;  32021,8;  34665,9;  35419,3;  35753,4;  36501,8;  35854,9;  34359,9;  33250,5;  32504,8;  31551,1;  30626,9;  31815,5;  34589,5;  33154,4;  31218,1;
Importación de España desde Portugal (MWh);   1900,0;   1900,0;   1937,1;   1988,1;   1956,2;   1963,9;   2296,7;   2269,4;   1900,0;   1900,0;   1900,0;   1900,0;   1900,0;   1283,0;   1126,1;    386,4;    178,9;    670,9;   1340,6;   1372,4;   1108,6;    773,5;    676,6;    740,9;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
