OMIE - Mercado de electricidad;Fecha Emisión :27/02/2016 - 13:21;;28/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);   8,00;   5,09;   4,00;   4,00;   3,35;   3,35;   3,35;   4,00;   4,00;   5,00;   6,50;   6,50;   5,59;   5,50;   5,10;   4,10;   4,00;   5,00;   6,50;  11,60;  15,10;  17,30;  13,30;  10,10;
Precio marginal en el sistema portugués (EUR/MWh);   8,00;   5,09;   4,00;   4,00;   3,35;   3,35;   3,35;   4,00;   4,00;   5,00;   6,50;   6,50;   5,59;   5,50;   5,10;   4,10;   4,00;   5,00;   6,50;  11,60;  15,10;  17,30;  13,30;  10,10;
Energía total de compra sistema español (MWh);  25137,1;  23605,3;  22556,6;  21481,7;  21161,5;  21285,8;  21526,6;  21980,0;  22837,7;  24841,0;  26153,1;  27142,8;  27330,3;  27530,1;  27402,3;  26183,5;  25562,1;  25153,6;  25612,3;  25366,3;  26362,3;  26591,4;  25689,6;  23708,2;
Energía total de venta sistema español (MWh);  25653,2;  24442,2;  23553,9;  22747,4;  22692,1;  22766,4;  22759,6;  22954,0;  23584,3;  25003,4;  26455,2;  27664,1;  27994,6;  28180,7;  27902,8;  26806,4;  26155,3;  25499,2;  25625,0;  24523,2;  25802,0;  25886,7;  25070,2;  23726,2;
Energía total de compra sistema portugués (MWh);   5533,2;   5040,0;   4748,6;   4479,2;   4602,0;   4559,0;   4371,1;   4272,6;   4321,3;   4442,2;   4883,7;   5250,7;   5536,7;   5670,1;   5487,7;   5399,1;   5320,0;   5093,3;   5254,6;   5825,3;   6269,3;   6302,4;   6099,8;   5871,0;
Energía total de venta sistema portugués (MWh);   7017,1;   6503,1;   6051,3;   5513,5;   5371,4;   5378,4;   5438,1;   5598,6;   5874,7;   6579,8;   6881,6;   7029,4;   7172,4;   7319,5;   7287,2;   7076,2;   7026,8;   7047,7;   7241,9;   8668,4;   8829,6;   9007,1;   8719,2;   7853,0;
Energía total del mercado Ibérico (MWh);  30670,3;  28645,3;  27305,2;  25960,9;  25763,5;  25844,8;  25897,7;  26252,6;  27159,0;  29283,2;  31036,8;  32393,5;  32867,0;  33200,2;  32890,0;  31582,6;  30882,1;  30246,9;  30866,9;  31191,6;  32631,6;  32893,8;  31789,4;  29579,2;
Energía total con bilaterales del mercado Ibérico (MWh);  33221,2;  31048,4;  29973,9;  28583,8;  28384,7;  28464,3;  28586,5;  28668,1;  29540,6;  31706,5;  33729,6;  35097,6;  35629,7;  36292,2;  35869,1;  34374,7;  33668,0;  33069,5;  34145,0;  37119,2;  38614,8;  38893,4;  37673,5;  35128,7;
Importación de España desde Portugal (MWh);   1483,9;   1463,1;   1302,7;   1034,3;    769,4;    819,4;   1067,0;   1326,0;   1553,4;   2137,6;   1997,9;   1778,7;   1635,7;   1649,4;   1799,5;   1677,1;   1706,8;   1954,4;   1987,3;   2843,1;   2560,3;   2704,7;   2619,4;   1982,0;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
