OMIE - Mercado de electricidad;Fecha Emisión :26/02/2016 - 13:49;;27/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);   6,50;   5,10;   5,09;   5,00;   4,00;   4,00;   4,00;   4,00;   5,00;   5,59;   7,60;   6,50;   5,59;   5,40;   5,10;   4,00;   4,00;   4,00;   5,00;   8,70;  10,50;  10,50;   8,44;   5,40;
Precio marginal en el sistema portugués (EUR/MWh);   6,50;   5,10;   5,09;   5,00;   4,00;   4,00;   4,00;   4,00;   5,00;   5,59;   7,60;   6,50;   5,59;   5,40;   5,10;   4,00;   4,00;   4,00;   5,00;   8,70;  10,50;  10,50;   8,44;   5,40;
Energía total de compra sistema español (MWh);  23608,4;  22200,3;  21062,0;  20716,4;  20556,5;  20557,5;  20943,7;  21298,9;  23147,7;  24892,3;  26303,5;  26705,2;  26547,4;  26739,0;  26399,3;  25533,2;  24861,5;  24476,0;  24661,4;  25524,8;  25902,2;  25697,5;  24855,3;  23390,2;
Energía total de venta sistema español (MWh);  24131,5;  23487,7;  22616,1;  22258,4;  22026,4;  22043,0;  22304,6;  22657,9;  23994,6;  25402,0;  26560,0;  27154,8;  27338,6;  27448,9;  27396,4;  26771,8;  26189,5;  25652,5;  25856,4;  26033,4;  26164,7;  25875,9;  25404,6;  24716,1;
Energía total de compra sistema portugués (MWh);   6041,9;   6269,8;   5846,4;   5581,6;   5430,0;   5355,2;   5326,7;   5396,3;   5576,3;   5577,0;   5630,8;   6026,8;   6466,4;   6480,1;   6712,4;   6601,5;   6505,2;   6404,6;   6528,6;   6227,8;   6605,5;   6519,6;   6213,7;   6528,4;
Energía total de venta sistema portugués (MWh);   7518,8;   6982,4;   6592,3;   6339,6;   6260,1;   6169,7;   6265,8;   6337,3;   6729,4;   7067,3;   7374,3;   7577,2;   7675,2;   7770,2;   7715,3;   7362,9;   7177,2;   7228,1;   7333,6;   7719,2;   8343,0;   8341,2;   7664,4;   7202,5;
Energía total del mercado Ibérico (MWh);  29650,3;  28470,1;  26908,4;  26298,0;  25986,5;  25912,7;  26270,4;  26695,2;  28724,0;  30469,3;  31934,3;  32732,0;  33013,8;  33219,1;  33111,7;  32134,7;  31366,7;  30880,6;  31190,0;  31752,6;  32507,7;  32217,1;  31069,0;  29918,6;
Energía total con bilaterales del mercado Ibérico (MWh);  35323,5;  33670,6;  31776,6;  30959,4;  30567,5;  30483,3;  30951,5;  31574,8;  33726,6;  36098,9;  38099,4;  38993,9;  39227,9;  39397,8;  39111,8;  37677,6;  36732,4;  36293,7;  37096,4;  38265,6;  39156,9;  38854,4;  37476,9;  35843,0;
Importación de España desde Portugal (MWh);   1476,9;    712,6;    745,9;    758,0;    830,1;    814,5;    939,1;    941,0;   1153,1;   1490,3;   1743,5;   1550,4;   1208,8;   1290,1;   1002,9;    761,4;    672,0;    823,5;    805,0;   1491,4;   1737,5;   1821,6;   1450,7;    674,1;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
