OMIE - Mercado de electricidad;Fecha Emisión :11/02/2016 - 13:45;;12/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  22,81;  21,59;  20,00;  19,10;  15,98;  16,50;  20,00;  23,19;  27,75;  30,00;  30,19;  29,60;  28,00;  26,93;  24,10;  24,10;  24,10;  24,10;  24,15;  30,00;  29,60;  26,45;  23,30;  20,30;
Precio marginal en el sistema portugués (EUR/MWh);  22,81;  21,59;  20,00;  19,10;  15,98;  16,50;  20,00;  23,19;  27,10;  30,00;  30,19;  29,60;  28,00;  26,93;  24,10;  24,10;  24,10;  24,10;  24,15;  30,00;  29,60;  26,45;  23,30;  20,30;
Energía total de compra sistema español (MWh);  21212,7;  19664,9;  19766,0;  19800,3;  19917,0;  20200,6;  21049,0;  23249,4;  24593,5;  25320,6;  25563,7;  25394,5;  25008,4;  25061,8;  24324,3;  23765,1;  23403,0;  23135,1;  23550,2;  25188,2;  25280,3;  25272,0;  24162,2;  23187,6;
Energía total de venta sistema español (MWh);  21301,6;  21164,7;  21225,0;  21201,0;  21372,5;  21625,0;  22008,5;  23171,6;  23743,5;  24860,5;  25509,1;  25585,1;  25563,2;  25278,1;  25195,0;  24772,0;  24431,3;  24136,4;  24027,4;  24935,2;  24925,5;  24282,9;  24159,4;  23931,3;
Energía total de compra sistema portugués (MWh);   5602,0;   5130,4;   5042,6;   5166,4;   5311,5;   5316,3;   4831,0;   5077,9;   5719,3;   6744,7;   7371,0;   7546,0;   7602,8;   7391,4;   7235,4;   7306,4;   7219,4;   7098,7;   6845,4;   6923,4;   6845,5;   6576,2;   6295,2;   6005,3;
Energía total de venta sistema portugués (MWh);   6836,7;   5774,7;   5783,6;   5965,7;   6056,0;   6091,9;   6071,5;   7305,7;   8719,3;   9354,8;   9575,6;   9505,4;   9198,0;   9106,5;   8514,7;   8449,5;   8341,1;   8247,4;   8518,2;   9326,4;   9350,3;   8814,6;   8448,0;   7411,6;
Energía total del mercado Ibérico (MWh);  26814,7;  24795,3;  24808,6;  24966,7;  25228,5;  25516,9;  25880,0;  28327,3;  30312,8;  32065,3;  32934,7;  32940,5;  32611,2;  32453,2;  31559,7;  31071,5;  30622,4;  30233,8;  30395,6;  32111,6;  32125,8;  31848,2;  30457,4;  29192,9;
Energía total con bilaterales del mercado Ibérico (MWh);  33957,9;  31396,2;  31140,9;  31183,3;  31410,6;  31835,4;  32657,7;  36055,2;  38823,3;  40719,4;  41737,5;  41676,2;  41244,3;  41181,7;  39965,4;  39213,2;  38724,9;  38387,9;  38936,7;  41180,2;  41285,6;  40854,7;  38820,3;  36922,2;
Importación de España desde Portugal (MWh);   1234,7;    644,3;    741,0;    799,3;    744,5;    775,6;   1240,5;   2227,8;   3000,0;   2610,1;   2204,6;   1959,4;   1595,2;   1715,1;   1279,3;   1143,1;   1121,7;   1148,7;   1672,8;   2403,0;   2504,8;   2238,4;   2152,8;   1406,3;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
