OMIE - Mercado de electricidad;Fecha Emisión :06/04/2016 - 13:23;;07/04/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  21,00;  16,00;  13,97;  13,05;  13,49;  17,37;  21,75;  28,00;  30,75;  30,00;  28,59;  27,10;  26,14;  24,44;  22,57;  21,86;  21,94;  21,39;  20,43;  22,00;  25,29;  28,69;  26,14;  23,69;
Precio marginal en el sistema portugués (EUR/MWh);  21,00;  16,00;  13,97;  13,05;  13,49;  17,37;  21,75;  27,69;  28,10;  30,00;  28,59;  27,10;  26,14;  24,44;  22,57;  21,86;  21,94;  21,39;  20,43;  22,00;  25,29;  28,69;  26,14;  23,69;
Energía total de compra sistema español (MWh);  18647,1;  18441,3;  17656,2;  17016,1;  16933,9;  16772,8;  17048,6;  19358,7;  21465,5;  22618,0;  23093,0;  23119,5;  22969,9;  22912,4;  22311,7;  21454,0;  21105,2;  20675,6;  20232,2;  20538,6;  21665,9;  22911,6;  21025,3;  19220,2;
Energía total de venta sistema español (MWh);  18298,5;  17823,9;  17717,6;  17481,3;  17398,4;  17713,5;  17733,7;  18408,7;  20515,5;  21317,8;  22468,9;  23485,4;  23532,8;  22895,8;  23090,8;  23039,1;  22566,7;  22673,3;  22620,1;  21925,9;  21931,4;  22289,1;  20898,9;  19365,3;
Energía total de compra sistema portugués (MWh);   5398,3;   5553,3;   5283,1;   5161,2;   5095,9;   4666,7;   4420,8;   4691,7;   5179,9;   5994,9;   6469,9;   6578,9;   6677,5;   6476,0;   6407,1;   6510,8;   6443,3;   6432,9;   6333,4;   6220,3;   6270,5;   6535,6;   6382,4;   5982,7;
Energía total de venta sistema portugués (MWh);   5684,8;   5034,0;   4950,9;   4902,9;   4904,7;   5016,4;   5735,7;   7391,7;   7879,9;   8383,4;   8075,0;   7533,9;   6800,8;   6387,1;   5538,2;   5675,1;   6045,8;   6185,2;   5695,5;   6583,0;   7755,0;   8908,1;   8258,8;   7587,6;
Energía total del mercado Ibérico (MWh);  24045,4;  23994,6;  22939,3;  22177,3;  22029,8;  21439,5;  21469,4;  24050,4;  26645,4;  28612,9;  29562,9;  29698,4;  29647,4;  29388,4;  28718,8;  27964,8;  27548,5;  27108,5;  26565,6;  26758,9;  27936,4;  29447,2;  27407,7;  25202,9;
Energía total con bilaterales del mercado Ibérico (MWh);  32643,1;  32604,5;  31300,7;  30445,1;  30244,4;  29769,5;  29815,7;  33135,8;  36329,3;  38675,6;  39799,8;  39971,7;  39902,5;  39559,9;  38599,9;  37625,6;  37106,5;  36595,6;  36024,7;  36331,5;  37813,0;  39795,7;  37235,1;  34360,5;
Importación de España desde Portugal (MWh);    286,5;      0,0;      0,0;      0,0;      0,0;    349,7;   1314,9;   2700,0;   2700,0;   2388,5;   1605,1;    955,0;    123,3;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    362,7;   1484,5;   2372,5;   1876,4;   1604,9;
Exportación de España a Portugal (MWh);      0,0;    519,3;    332,2;    258,3;    191,2;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;     88,9;    868,9;    835,7;    397,5;    247,7;    637,9;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
