OMIE - Mercado de electricidad;Fecha Emisión :24/03/2016 - 13:23;;25/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  30,00;  23,50;  21,51;  20,00;  20,01;  20,30;  23,31;  27,19;  26,69;  27,44;  27,26;  28,91;  27,87;  27,06;  26,50;  24,44;  23,50;  26,10;  27,20;  33,08;  32,95;  31,94;  31,91;  30,00;
Precio marginal en el sistema portugués (EUR/MWh);  30,00;  23,50;  21,51;  20,00;  20,01;  20,30;  23,31;  27,19;  26,69;  27,44;  27,26;  28,91;  27,87;  27,06;  26,50;  24,44;  23,50;  26,10;  27,20;  33,08;  32,95;  31,94;  31,91;  30,00;
Energía total de compra sistema español (MWh);  16403,9;  15592,5;  14644,2;  14312,4;  14165,5;  14225,9;  14028,1;  13913,9;  14447,3;  15574,4;  16696,3;  16692,7;  16688,1;  17333,6;  17122,6;  16739,8;  16410,0;  15672,4;  15721,4;  17057,1;  18706,8;  19060,0;  18574,6;  16991,0;
Energía total de venta sistema español (MWh);  13842,7;  13752,1;  13942,8;  13956,1;  14121,6;  14315,3;  14519,1;  15270,8;  15831,7;  16467,9;  17593,9;  18171,7;  18738,6;  19083,6;  19026,7;  18800,5;  18090,2;  17357,1;  17724,2;  17044,7;  16118,8;  15780,9;  16051,6;  15129,3;
Energía total de compra sistema portugués (MWh);   5555,7;   5104,7;   5169,0;   5024,3;   4873,9;   4793,8;   4283,8;   4111,6;   4282,3;   4639,0;   5008,2;   5312,9;   5533,4;   5611,0;   5456,4;   5258,9;   5123,9;   5019,6;   5068,6;   5342,0;   5737,9;   5801,6;   5643,3;   5380,9;
Energía total de venta sistema portugués (MWh);   5516,9;   4295,1;   3333,0;   3259,4;   3344,6;   3412,0;   4516,6;   4904,7;   5047,9;   5630,7;   5479,8;   5478,6;   5284,1;   4973,0;   4559,6;   4347,2;   4434,7;   4560,5;   5265,8;   7011,0;   6984,8;   6480,7;   6436,5;   5590,7;
Energía total del mercado Ibérico (MWh);  21959,6;  20697,2;  19813,2;  19336,7;  19039,4;  19019,7;  18311,9;  18025,5;  18729,6;  20213,4;  21704,5;  22005,6;  22221,5;  22944,6;  22579,0;  21998,7;  21533,9;  20692,0;  20790,0;  22399,1;  24444,7;  24861,6;  24217,9;  22371,9;
Energía total con bilaterales del mercado Ibérico (MWh);  30137,3;  28430,8;  27101,6;  26326,1;  25898,3;  25888,8;  25399,1;  25284,9;  26017,0;  27873,9;  29715,8;  30154,4;  30333,2;  31136,1;  30714,4;  29877,2;  29215,7;  28232,8;  28516,0;  30790,9;  33462,9;  34058,9;  33065,7;  30726,0;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    232,8;    793,1;    765,6;    991,7;    471,6;    165,7;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    197,2;   1669,0;   1246,9;    679,1;    793,2;    209,8;
Exportación de España a Portugal (MWh);     38,8;    809,6;   1836,0;   1764,9;   1529,3;   1381,8;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    249,3;    638,0;    896,8;    911,7;    689,2;    459,1;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
