OMIE - Mercado de electricidad;Fecha Emisión :16/02/2016 - 13:33;;17/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  36,62;  31,80;  29,72;  27,44;  26,62;  28,00;  36,10;  42,69;  44,69;  47,33;  45,75;  42,00;  40,00;  39,98;  36,62;  36,37;  36,37;  37,40;  40,00;  47,00;  45,44;  40,00;  37,08;  35,06;
Precio marginal en el sistema portugués (EUR/MWh);  36,62;  31,80;  29,72;  27,44;  26,62;  28,00;  36,10;  42,69;  44,69;  47,33;  45,75;  42,00;  40,00;  39,98;  36,62;  36,37;  36,37;  37,40;  39,69;  44,69;  44,69;  37,50;  33,20;  33,00;
Energía total de compra sistema español (MWh);  20261,3;  19069,4;  17900,5;  17771,6;  17903,7;  17839,2;  19007,9;  21645,2;  23508,7;  24191,2;  24439,8;  24785,6;  24877,5;  25559,2;  24880,2;  24206,4;  24087,6;  23794,9;  23697,1;  25348,0;  26039,2;  26141,7;  24512,1;  21866,5;
Energía total de venta sistema español (MWh);  16504,2;  14887,4;  14885,3;  14791,8;  15072,6;  15359,8;  16690,8;  19978,1;  20629,2;  22708,6;  24041,3;  24656,6;  24617,9;  24654,0;  24144,9;  23291,0;  23040,1;  22378,8;  21597,1;  23248,0;  23261,9;  21486,3;  20860,4;  19694,2;
Energía total de compra sistema portugués (MWh);   5534,6;   5065,0;   4779,8;   4622,1;   4561,7;   4566,9;   4607,3;   4938,9;   5590,0;   6613,7;   7280,5;   7520,7;   7624,1;   7369,3;   7165,1;   7320,4;   7255,6;   7168,5;   6920,0;   6955,0;   6839,5;   6620,5;   6342,7;   5983,2;
Energía total de venta sistema portugués (MWh);   6841,7;   6347,0;   5965,8;   5720,0;   5528,8;   5754,5;   6519,8;   7371,4;   8165,5;   8640,4;   8979,0;   8949,7;   9031,2;   9376,8;   9200,4;   9535,8;   9603,1;   9884,6;  10320,0;  10355,0;  10239,5;  10020,5;   9742,7;   9383,2;
Energía total del mercado Ibérico (MWh);  25795,9;  24134,4;  22680,3;  22393,7;  22465,4;  22406,1;  23615,2;  26584,1;  29098,7;  30804,9;  31720,3;  32306,3;  32501,6;  32928,5;  32045,3;  31526,8;  31343,2;  30963,4;  30617,1;  32303,0;  32878,7;  32762,2;  30854,8;  27849,7;
Energía total con bilaterales del mercado Ibérico (MWh);  34100,3;  31954,9;  30543,1;  30801,3;  30855,1;  30931,8;  31658,7;  35605,1;  38983,0;  40882,0;  42011,0;  42544,8;  42601,3;  42932,5;  42003,7;  41368,0;  41158,2;  40760,2;  40733,1;  42674,1;  43234,9;  43051,5;  40763,1;  36972,8;
Importación de España desde Portugal (MWh);   1307,1;   1282,0;   1186,0;   1097,9;    967,1;   1187,6;   1912,5;   2432,5;   2575,5;   2026,7;   1698,5;   1429,0;   1407,1;   2007,5;   2035,3;   2215,4;   2347,5;   2716,1;   3400,0;   3400,0;   3400,0;   3400,0;   3400,0;   3400,0;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
