OMIE - Mercado de electricidad;Fecha Emisión :18/04/2016 - 14:04;;19/04/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  11,80;   8,99;   6,50;   6,00;   6,09;   8,00;  11,85;  25,01;  35,41;  36,00;  30,20;  27,83;  25,00;  23,00;  23,00;  19,61;  19,01;  20,50;  23,06;  24,50;  27,02;  30,50;  27,00;  24,09;
Precio marginal en el sistema portugués (EUR/MWh);  11,80;   8,99;   6,50;   6,00;   6,09;   8,00;  11,85;  11,69;  14,04;  22,19;  22,69;  23,09;  23,19;  23,00;  23,00;  19,61;  19,01;  20,50;  23,06;  24,50;  27,02;  30,50;  27,00;  24,09;
Energía total de compra sistema español (MWh);  17880,0;  17445,0;  16598,1;  15979,4;  15905,2;  16361,6;  17010,9;  18839,7;  20372,2;  21314,8;  21922,7;  21824,8;  22082,7;  22187,4;  21485,9;  20928,0;  20457,6;  20053,3;  19413,0;  19169,9;  20450,8;  21921,2;  19915,5;  18187,8;
Energía total de venta sistema español (MWh);  19350,6;  19232,1;  18607,0;  17961,1;  17825,4;  18061,4;  18010,5;  20139,7;  21672,2;  21648,4;  21848,5;  22125,2;  21688,4;  21238,7;  21318,8;  21163,7;  20568,2;  20188,6;  19723,2;  19336,2;  19027,4;  18832,8;  18485,2;  18039,7;
Energía total de compra sistema portugués (MWh);   5613,7;   5304,4;   5350,6;   5130,0;   5025,3;   4904,2;   4575,0;   4823,2;   5290,9;   5941,1;   6431,8;   6558,6;   6681,5;   6456,7;   6357,1;   6502,1;   6425,7;   6510,5;   6298,0;   6103,9;   6233,9;   6426,8;   6265,9;   5878,2;
Energía total de venta sistema portugués (MWh);   6793,1;   6067,3;   5891,7;   5698,3;   5655,1;   5754,4;   6125,4;   6173,2;   6640,9;   7291,1;   7781,8;   7908,6;   8031,5;   7789,1;   7568,2;   6939,7;   6581,7;   6551,4;   6708,2;   7390,9;   7434,0;   7577,4;   7465,4;   6936,5;
Energía total del mercado Ibérico (MWh);  23493,7;  22749,4;  21948,7;  21109,4;  20930,5;  21265,8;  21585,9;  23662,9;  25663,1;  27255,9;  28354,5;  28383,4;  28764,2;  28644,1;  27843,0;  27430,1;  26883,3;  26563,8;  25711,0;  25273,8;  26684,7;  28348,0;  26181,4;  24066,0;
Energía total con bilaterales del mercado Ibérico (MWh);  32000,0;  31206,4;  30213,6;  29310,5;  29078,2;  29502,5;  29966,2;  32806,6;  35403,8;  37293,0;  38517,6;  38550,7;  38941,0;  38792,7;  37732,4;  37137,8;  36491,0;  36114,8;  35183,8;  34807,2;  36506,3;  38666,8;  35962,7;  33059,9;
Importación de España desde Portugal (MWh);   1179,4;    762,9;    541,1;    568,3;    629,8;    850,2;   1550,4;   1350,0;   1350,0;   1350,0;   1350,0;   1350,0;   1350,0;   1332,4;   1211,1;    437,6;    156,0;     40,9;    410,2;   1287,0;   1200,1;   1150,6;   1199,5;   1058,3;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
