OMIE - Mercado de electricidad;Fecha Emisión :02/03/2016 - 14:08;;03/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  21,19;  19,50;  17,99;  17,49;  17,72;  18,10;  21,75;  26,00;  30,00;  31,86;  30,00;  28,69;  27,30;  25,56;  22,00;  20,32;  20,32;  22,18;  27,67;  37,13;  37,13;  33,00;  32,62;  28,78;
Precio marginal en el sistema portugués (EUR/MWh);  21,19;  19,50;  17,99;  17,49;  17,72;  18,10;  21,75;  26,00;  29,69;  31,86;  30,00;  28,69;  27,30;  25,56;  22,00;  20,32;  20,32;  22,18;  27,67;  37,13;  37,13;  33,00;  32,62;  28,78;
Energía total de compra sistema español (MWh);  18796,4;  17297,2;  16402,6;  16027,5;  15928,7;  16156,6;  17540,3;  19885,9;  21498,2;  22415,0;  23202,9;  23224,5;  23218,6;  23179,8;  22368,3;  21757,9;  21188,6;  20851,9;  20864,2;  22483,5;  23740,2;  23576,1;  21928,5;  19455,7;
Energía total de venta sistema español (MWh);  20170,9;  19736,1;  19356,9;  18803,7;  18606,2;  18520,1;  18427,7;  19516,8;  20448,2;  21518,7;  23375,9;  24197,2;  24796,4;  25040,9;  24910,9;  25084,5;  24389,1;  23175,5;  21879,7;  22223,3;  21480,6;  20084,4;  20404,6;  19419,4;
Energía total de compra sistema portugués (MWh);   5700,8;   5802,3;   5820,9;   5612,5;   5528,1;   5445,6;   4533,6;   4810,0;   5472,6;   6304,4;   6793,8;   6985,9;   7070,8;   6879,6;   6716,4;   7106,9;   7010,8;   6638,3;   6450,9;   6639,1;   6929,0;   6801,7;   6532,8;   6230,5;
Energía total de venta sistema portugués (MWh);   6265,3;   5369,2;   5166,6;   5136,3;   5150,6;   5382,1;   5946,2;   7179,1;   8522,6;   8932,8;   8620,8;   8013,2;   7493,0;   7018,5;   6173,8;   5780,3;   5810,3;   6314,7;   7435,4;   8899,3;   8977,7;   8813,2;   8741,9;   8266,8;
Energía total del mercado Ibérico (MWh);  24497,2;  23099,5;  22223,5;  21640,0;  21456,8;  21602,2;  22073,9;  24695,9;  26970,8;  28719,4;  29996,7;  30210,4;  30289,4;  30059,4;  29084,7;  28864,8;  28199,4;  27490,2;  27315,1;  29122,6;  30669,2;  30377,8;  28461,3;  25686,2;
Energía total con bilaterales del mercado Ibérico (MWh);  33074,0;  31223,4;  30076,1;  29373,6;  29168,8;  29420,2;  30407,6;  33837,3;  36615,4;  38662,4;  40086,0;  40299,2;  40335,5;  40083,9;  38807,1;  38413,9;  37678,9;  36942,1;  36940,6;  39332,1;  41235,3;  40816,3;  38175,2;  34757,4;
Importación de España desde Portugal (MWh);    564,5;      0,0;      0,0;      0,0;      0,0;      0,0;   1412,6;   2369,1;   3050,0;   2628,4;   1827,0;   1027,3;    422,2;    138,9;      0,0;      0,0;      0,0;      0,0;    984,5;   2260,2;   2048,7;   2011,5;   2209,1;   2036,3;
Exportación de España a Portugal (MWh);      0,0;    433,1;    654,3;    476,2;    377,5;     63,5;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    542,6;   1326,6;   1200,5;    323,6;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
