OMIE - Mercado de electricidad;Fecha Emisión :19/02/2016 - 13:22;;20/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  35,20;  32,79;  29,00;  26,89;  24,90;  24,39;  26,50;  28,40;  32,50;  35,00;  36,81;  35,50;  34,80;  35,00;  33,90;  31,30;  31,00;  32,50;  35,10;  41,69;  43,00;  42,00;  36,72;  32,50;
Precio marginal en el sistema portugués (EUR/MWh);  35,20;  32,79;  29,00;  26,89;  24,90;  24,39;  26,50;  28,40;  30,21;  35,00;  36,81;  35,50;  34,80;  35,00;  33,90;  31,30;  31,00;  32,50;  35,10;  41,69;  43,00;  42,00;  36,72;  32,50;
Energía total de compra sistema español (MWh);  19884,0;  19242,2;  18663,6;  17987,4;  17880,1;  17778,1;  17957,8;  18668,5;  18656,7;  20579,8;  21984,3;  22240,6;  22122,9;  22117,3;  22049,3;  21010,6;  20747,5;  20072,4;  20036,4;  21389,8;  21927,3;  21905,0;  20842,5;  20160,3;
Energía total de venta sistema español (MWh);  15564,3;  15277,5;  14057,4;  13830,9;  13733,8;  13614,4;  13556,2;  13445,7;  13772,7;  15410,6;  17106,1;  18001,9;  18234,5;  18368,1;  18431,4;  17677,4;  17385,5;  16532,1;  16205,9;  16802,2;  17400,9;  16972,6;  16323,3;  15859,3;
Energía total de compra sistema portugués (MWh);   5836,8;   5336,5;   4870,4;   5254,8;   5161,0;   5164,7;   5043,2;   4612,0;   4702,6;   5045,0;   5572,6;   5890,8;   6027,4;   6015,3;   5826,4;   5691,5;   5595,7;   5554,9;   5623,2;   6205,6;   6553,1;   6428,4;   6129,4;   5928,3;
Energía total de venta sistema portugués (MWh);   8372,5;   7517,2;   7192,6;   7127,3;   7023,3;   7044,4;   7160,8;   7550,8;   7802,6;   8430,2;   8666,8;   8345,5;   8131,8;   7980,5;   7660,3;   7240,7;   7173,7;   7311,2;   7669,7;   9009,2;   9295,5;   9576,8;   8864,6;   8445,3;
Energía total del mercado Ibérico (MWh);  25720,8;  24578,7;  23534,0;  23242,2;  23041,1;  22942,8;  23001,0;  23280,5;  23359,3;  25624,8;  27556,9;  28131,4;  28150,3;  28132,6;  27875,7;  26702,1;  26343,2;  25627,3;  25659,6;  27595,4;  28480,4;  28333,4;  26971,9;  26088,6;
Energía total con bilaterales del mercado Ibérico (MWh);  34005,1;  32366,6;  30952,0;  30477,3;  30210,6;  30104,9;  30291,6;  30800,9;  31354,5;  34313,0;  36778,7;  37430,0;  37404,2;  37354,8;  36901,2;  35242,3;  34716,1;  34055,7;  34384,2;  37005,3;  38129,2;  37905,7;  36037,8;  34657,8;
Importación de España desde Portugal (MWh);   2535,7;   2180,7;   2322,2;   1872,5;   1862,3;   1879,7;   2117,6;   2938,8;   3100,0;   3385,2;   3094,2;   2454,7;   2104,4;   1965,2;   1833,9;   1549,2;   1578,0;   1756,3;   2046,5;   2803,6;   2742,4;   3148,4;   2735,2;   2517,0;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
