OMIE - Mercado de electricidad;Fecha Emisión :14/03/2016 - 13:44;;15/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  41,50;  38,38;  35,40;  33,30;  33,60;  36,30;  40,14;  43,45;  46,38;  47,69;  46,69;  45,01;  43,90;  43,00;  42,40;  40,69;  40,14;  39,86;  40,00;  44,43;  50,09;  46,24;  41,72;  38,60;
Precio marginal en el sistema portugués (EUR/MWh);  41,50;  38,38;  35,40;  33,30;  33,60;  36,30;  40,14;  43,45;  46,38;  47,69;  46,69;  45,01;  43,90;  43,00;  42,40;  40,69;  40,14;  39,86;  40,00;  44,43;  50,09;  46,24;  41,72;  38,60;
Energía total de compra sistema español (MWh);  18148,2;  16730,4;  15921,2;  15550,0;  15436,8;  15807,5;  17834,7;  20578,7;  22578,4;  23499,4;  23908,6;  23863,1;  23593,9;  23497,2;  22565,0;  21827,1;  21313,3;  21001,1;  21145,5;  23014,8;  24143,3;  23784,9;  22435,7;  19993,4;
Energía total de venta sistema español (MWh);  17238,4;  15851,1;  14897,8;  14422,7;  14296,5;  14642,0;  16380,3;  17629,1;  19029,1;  19633,5;  20273,4;  20479,3;  20660,2;  20922,3;  20982,5;  20668,5;  20163,6;  19329,8;  19216,5;  19785,6;  20629,2;  20416,4;  20364,1;  18792,8;
Energía total de compra sistema portugués (MWh);   5737,7;   5160,9;   4792,1;   4601,6;   4501,3;   4477,1;   4499,5;   4709,9;   5385,5;   6313,3;   6818,1;   6928,3;   7013,1;   6826,9;   6627,4;   6720,8;   6636,9;   6569,1;   6392,9;   6589,8;   6973,4;   6837,4;   6560,2;   6276,2;
Energía total de venta sistema portugués (MWh);   5047,5;   4440,2;   4215,5;   4128,9;   4041,6;   4042,6;   4353,9;   5959,5;   7234,8;   8479,2;   8753,3;   8612,1;   8246,8;   7701,8;   6509,9;   6179,4;   6086,6;   6540,4;   6621,9;   8119,0;   8787,5;   8505,9;   6931,8;   5876,8;
Energía total del mercado Ibérico (MWh);  23885,9;  21891,3;  20713,3;  20151,6;  19938,1;  20284,6;  22334,2;  25288,6;  27963,9;  29812,7;  30726,7;  30791,4;  30607,0;  30324,1;  29192,4;  28547,9;  27950,2;  27570,2;  27538,4;  29604,6;  31116,7;  30622,3;  28995,9;  26269,6;
Energía total con bilaterales del mercado Ibérico (MWh);  32260,7;  29829,1;  28398,8;  27719,4;  27500,4;  27961,6;  30503,6;  34290,2;  37540,2;  39731,8;  40849,0;  40837,0;  40641,9;  40270,9;  38859,0;  38049,3;  37334,8;  36911,6;  36998,4;  39668,6;  41423,8;  40910,5;  38567,9;  35137,5;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;   1249,6;   1849,3;   2165,9;   1935,2;   1683,8;   1233,7;    874,9;      0,0;      0,0;      0,0;      0,0;    229,0;   1529,2;   1814,1;   1668,5;    371,6;      0,0;
Exportación de España a Portugal (MWh);    690,2;    720,7;    576,6;    472,7;    459,7;    434,5;    145,6;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    117,5;    541,4;    550,3;     28,7;      0,0;      0,0;      0,0;      0,0;      0,0;    399,4;
;;;;;;;;;;;;;;;;;;;;;;;;;
