OMIE - Mercado de electricidad;Fecha Emisión :13/04/2016 - 13:48;;14/04/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  25,12;  21,93;  20,68;  19,53;  19,18;  19,20;  20,68;  24,00;  28,33;  28,55;  28,22;  27,53;  26,40;  25,05;  23,83;  23,44;  23,22;  24,20;  27,25;  28,33;  31,38;  31,53;  28,33;  27,53;
Precio marginal en el sistema portugués (EUR/MWh);  25,12;  21,93;  20,68;  19,53;  19,18;  19,20;  20,68;  21,22;  21,90;  25,69;  27,69;  27,53;  26,40;  25,05;  23,83;  23,44;  23,22;  24,20;  27,25;  28,33;  31,38;  31,53;  28,33;  27,53;
Energía total de compra sistema español (MWh);  17756,0;  16277,6;  15191,3;  14790,5;  15049,3;  15323,6;  16709,1;  18891,0;  21043,8;  22093,1;  22580,7;  22711,2;  23031,7;  22788,8;  22161,9;  21487,9;  21220,3;  20784,8;  20052,3;  19920,8;  20785,5;  22503,4;  20805,3;  19009,5;
Energía total de venta sistema español (MWh);  15813,9;  15833,3;  16094,2;  15858,5;  16074,9;  16337,1;  16839,9;  18591,0;  20743,8;  21793,1;  22280,7;  22558,6;  21875,6;  21610,9;  21458,2;  21234,5;  20862,8;  20260,0;  20012,3;  20085,9;  19814,0;  18745,9;  17840,1;  17298,4;
Energía total de compra sistema portugués (MWh);   5370,7;   4886,9;   4587,5;   4384,1;   4299,6;   4273,7;   4343,6;   4598,8;   5079,1;   5881,4;   6346,4;   6476,8;   6566,1;   6331,1;   6255,5;   6380,5;   6319,5;   6406,7;   6201,2;   6071,3;   6139,3;   6383,4;   6253,1;   5860,5;
Energía total de venta sistema portugués (MWh);   7757,7;   7105,8;   6534,6;   6166,1;   6124,0;   6110,2;   6612,8;   7298,8;   7779,1;   8581,4;   9046,4;   9029,4;   8875,0;   8244,5;   7789,0;   7602,9;   7375,0;   7101,4;   7603,0;   7764,8;   7533,8;   7449,0;   7264,6;   6590,8;
Energía total del mercado Ibérico (MWh);  23126,7;  21164,5;  19778,8;  19174,6;  19348,9;  19597,3;  21052,7;  23489,8;  26122,9;  27974,5;  28927,1;  29188,0;  29597,8;  29119,9;  28417,4;  27868,4;  27539,8;  27191,5;  26253,5;  25992,1;  26924,8;  28886,8;  27058,4;  24870,0;
Energía total con bilaterales del mercado Ibérico (MWh);  31715,4;  29319,0;  27716,1;  27028,0;  27157,1;  27487,3;  29409,1;  32633,9;  35880,6;  38061,4;  39165,6;  39433,9;  39807,8;  39319,8;  38354,4;  37587,0;  37149,4;  36749,2;  35779,6;  35628,3;  36852,7;  39341,6;  36816,5;  33966,6;
Importación de España desde Portugal (MWh);   2387,0;   2218,9;   1947,1;   1782,0;   1824,4;   1836,5;   2269,2;   2700,0;   2700,0;   2700,0;   2700,0;   2552,6;   2308,9;   1913,4;   1533,5;   1222,4;   1055,5;    694,7;   1401,8;   1693,5;   1394,5;   1065,6;   1011,5;    730,3;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
