OMIE - Mercado de electricidad;Fecha Emisión :17/03/2016 - 13:36;;18/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  42,69;  39,43;  36,36;  35,06;  35,00;  36,36;  41,21;  45,27;  48,38;  50,09;  50,09;  48,69;  47,88;  47,17;  46,17;  45,98;  45,02;  44,60;  41,69;  44,01;  46,69;  45,98;  44,10;  42,50;
Precio marginal en el sistema portugués (EUR/MWh);  42,69;  39,43;  36,36;  35,06;  35,00;  36,36;  41,21;  45,27;  47,85;  48,69;  49,17;  48,69;  47,88;  47,17;  46,17;  45,98;  45,02;  44,60;  41,69;  44,01;  46,69;  45,98;  44,10;  42,50;
Energía total de compra sistema español (MWh);  18822,8;  17476,2;  16342,9;  15899,3;  15866,5;  16362,3;  18143,8;  21086,1;  23293,2;  23956,3;  24521,9;  24552,7;  24119,7;  24298,1;  23301,0;  22992,4;  22297,8;  21858,4;  21652,6;  22721,1;  23834,4;  23543,5;  22627,6;  20268,1;
Energía total de venta sistema español (MWh);  17319,5;  16571,1;  15597,7;  15033,3;  14983,4;  15459,3;  16491,2;  17915,2;  19588,2;  20251,3;  20816,9;  20988,2;  20629,9;  21041,5;  20421,9;  20211,2;  19714,3;  19157,7;  18126,8;  19087,7;  19451,4;  19383,5;  18847,0;  17582,5;
Energía total de compra sistema portugués (MWh);   5661,1;   5162,5;   4825,7;   4595,0;   4509,3;   4488,6;   4485,7;   4717,6;   5407,7;   6315,0;   6768,1;   6890,2;   6991,2;   6819,3;   6705,8;   6734,5;   6619,5;   6535,2;   6334,2;   6439,5;   6821,6;   6685,2;   6455,2;   6175,0;
Energía total de venta sistema portugués (MWh);   5859,4;   4762,6;   4265,9;   4156,0;   4087,4;   4086,6;   4833,3;   6483,5;   7707,7;   8615,0;   9068,1;   9049,7;   9076,0;   8670,9;   8179,9;   8110,7;   7798,0;   7630,9;   7455,0;   7667,9;   8799,6;   8440,2;   7830,8;   6455,6;
Energía total del mercado Ibérico (MWh);  24483,9;  22638,7;  21168,6;  20494,3;  20375,8;  20850,9;  22629,5;  25803,7;  28700,9;  30271,3;  31290,0;  31442,9;  31110,9;  31117,4;  30006,8;  29726,9;  28917,3;  28393,6;  27986,8;  29160,6;  30656,0;  30228,7;  29082,8;  26443,1;
Energía total con bilaterales del mercado Ibérico (MWh);  32942,1;  30738,8;  28995,9;  28204,9;  28061,9;  28637,5;  30918,2;  34917,7;  38371,6;  40467,9;  41669,1;  41797,3;  41227,5;  40751,1;  39526,1;  38918,7;  38101,6;  37585,4;  37315,2;  39405,6;  41316,0;  40764,5;  38953,9;  35679,2;
Importación de España desde Portugal (MWh);    198,3;      0,0;      0,0;      0,0;      0,0;      0,0;    347,6;   1765,9;   2300,0;   2300,0;   2300,0;   2159,5;   2084,8;   1851,6;   1474,1;   1376,2;   1178,5;   1095,7;   1120,8;   1228,4;   1978,0;   1755,0;   1375,6;    280,6;
Exportación de España a Portugal (MWh);      0,0;    399,9;    559,8;    439,0;    421,9;    402,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
