OMIE - Mercado de electricidad;Fecha Emisión :15/02/2016 - 13:32;;16/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  19,89;  11,10;   9,84;   8,00;   9,98;  12,40;  21,89;  34,76;  39,03;  42,42;  37,91;  35,72;  34,12;  32,77;  31,70;  32,09;  34,88;  39,81;  50,41;  52,21;  49,90;  49,98;  42,07;  35,24;
Precio marginal en el sistema portugués (EUR/MWh);  19,89;  11,10;   9,84;   8,00;   9,98;  12,40;  21,51;  27,60;  33,10;  42,42;  37,91;  35,72;  34,12;  32,77;  31,70;  32,09;  34,88;  39,81;  50,41;  52,21;  49,90;  49,98;  42,07;  35,24;
Energía total de compra sistema español (MWh);  23374,2;  22196,1;  21516,4;  21096,4;  20925,2;  20977,7;  21961,7;  23975,0;  25431,1;  26200,6;  26678,0;  26582,6;  26654,7;  26938,8;  26091,3;  25408,4;  25092,1;  24690,1;  23834,3;  25728,2;  26653,7;  26325,6;  25436,7;  22712,8;
Energía total de venta sistema español (MWh);  22904,1;  22200,7;  21811,6;  21331,3;  21174,4;  21201,7;  21061,7;  22625,0;  24081,1;  24973,2;  25205,7;  25760,1;  25758,8;  25119,7;  24897,1;  24475,6;  24054,4;  24441,0;  24304,7;  23757,3;  22597,4;  22138,0;  21093,3;  18692,3;
Energía total de compra sistema portugués (MWh);   5529,0;   5543,4;   5310,7;   5097,4;   5045,1;   5051,4;   4664,7;   5003,8;   5567,0;   6632,3;   7385,0;   7579,8;   7672,9;   7441,1;   7249,7;   7394,1;   7323,3;   7194,0;   6873,3;   6888,0;   6801,6;   6537,9;   6261,5;   5997,2;
Energía total de venta sistema portugués (MWh);   8149,1;   7738,8;   7215,5;   7062,5;   6995,9;   7027,4;   7764,7;   8503,8;   9067,0;   9210,5;   9054,3;   8937,0;   8845,9;   8697,3;   8571,3;   8527,9;   8537,0;   8564,9;   8552,9;   8513,1;   8407,9;   8275,5;   8154,9;   8030,4;
Energía total del mercado Ibérico (MWh);  28903,2;  27739,5;  26827,1;  26193,8;  25970,3;  26029,1;  26626,4;  28978,8;  30998,1;  32832,9;  34063,0;  34162,4;  34327,6;  34379,9;  33341,0;  32802,5;  32415,4;  31884,1;  30707,6;  32616,2;  33455,3;  32863,5;  31698,2;  28710,0;
Energía total con bilaterales del mercado Ibérico (MWh);  35363,9;  33861,2;  32622,5;  31836,0;  31669,8;  31876,7;  32810,8;  36162,7;  39255,8;  41258,5;  42721,5;  42801,6;  42942,3;  43099,4;  41720,4;  41048,0;  40614,2;  40070,6;  39256,0;  41792,7;  42680,9;  41948,7;  40038,8;  36361,0;
Importación de España desde Portugal (MWh);   2620,1;   2195,4;   1904,8;   1965,1;   1950,8;   1976,0;   3100,0;   3500,0;   3500,0;   2578,2;   1669,3;   1357,2;   1173,0;   1256,2;   1321,6;   1133,8;   1213,7;   1370,9;   1679,6;   1625,1;   1606,3;   1737,6;   1893,4;   2033,2;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
