OMIE - Mercado de electricidad;Fecha Emisión :10/03/2016 - 13:37;;11/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  28,97;  26,97;  24,18;  22,34;  21,75;  25,40;  30,00;  35,70;  38,34;  36,69;  32,91;  32,10;  31,71;  31,82;  31,00;  28,62;  28,00;  27,90;  32,55;  35,69;  38,86;  34,00;  31,82;  33,44;
Precio marginal en el sistema portugués (EUR/MWh);  28,97;  26,97;  24,18;  22,34;  21,75;  25,40;  30,00;  31,10;  32,10;  36,69;  32,91;  32,10;  31,71;  31,82;  31,00;  28,62;  28,00;  27,90;  32,55;  35,69;  38,86;  34,00;  31,82;  33,44;
Energía total de compra sistema español (MWh);  19564,1;  17777,4;  16579,8;  16266,6;  16339,1;  16340,6;  18309,1;  20744,9;  22945,8;  24151,9;  24805,9;  24778,4;  24643,6;  24586,1;  23518,3;  22788,3;  22297,6;  21980,9;  22037,3;  23716,8;  24734,5;  24273,8;  22758,9;  20596,5;
Energía total de venta sistema español (MWh);  17518,7;  17324,2;  17068,7;  16907,2;  16842,7;  16787,4;  17112,1;  19124,8;  21268,1;  22315,1;  22823,9;  23040,7;  22661,8;  22648,4;  22322,8;  22020,9;  21502,6;  20944,9;  21169,5;  21051,4;  21156,7;  20711,0;  19659,9;  19364,9;
Energía total de compra sistema portugués (MWh);   5702,9;   5156,2;   4776,6;   4580,3;   4493,7;   4467,7;   4461,6;   4724,0;   5384,7;   6303,6;   6794,4;   6933,8;   7039,0;   6858,7;   6749,8;   6759,9;   6667,6;   6532,0;   6309,6;   6515,8;   6834,1;   6713,0;   6437,8;   6142,7;
Energía total de venta sistema portugués (MWh);   6419,3;   5536,2;   4396,3;   4339,8;   4130,0;   4341,0;   6240,7;   6924,0;   7584,7;   8299,9;   8194,2;   7694,8;   7420,8;   7196,4;   6345,3;   5927,3;   5862,6;   5831,8;   7043,3;   7433,2;   7861,9;   7725,8;   7243,3;   7563,8;
Energía total del mercado Ibérico (MWh);  25267,0;  22933,6;  21356,4;  20846,9;  20832,8;  20808,3;  22770,7;  25468,9;  28330,5;  30455,5;  31600,3;  31712,2;  31682,6;  31444,8;  30268,1;  29548,2;  28965,2;  28512,9;  28346,9;  30232,6;  31568,6;  30986,8;  29196,7;  26739,2;
Energía total con bilaterales del mercado Ibérico (MWh);  33852,0;  31082,7;  29217,6;  28585,2;  28542,0;  28631,6;  31129,8;  34642,5;  38079,2;  40533,2;  41859,4;  41902,4;  41806,6;  41534,2;  40053,6;  39108,6;  38414,6;  37923,0;  37960,0;  40438,7;  42120,7;  41410,4;  38944,8;  35847,1;
Importación de España desde Portugal (MWh);    716,4;    380,0;      0,0;      0,0;      0,0;      0,0;   1779,1;   2200,0;   2200,0;   1996,3;   1399,8;    761,0;    381,8;    337,7;      0,0;      0,0;      0,0;      0,0;    733,7;    917,4;   1027,8;   1012,8;    805,5;   1421,1;
Exportación de España a Portugal (MWh);      0,0;      0,0;    380,3;    240,5;    363,7;    126,7;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    404,5;    832,6;    805,0;    700,2;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
