OMIE - Mercado de electricidad;Fecha Emisión :03/03/2016 - 13:31;;04/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  27,05;  23,94;  20,00;  19,19;  17,63;  18,10;  20,00;  25,56;  33,97;  33,48;  32,03;  25,00;  20,01;  17,00;  12,30;  10,94;  10,50;  10,70;  12,40;  19,00;  21,00;  20,00;  14,10;  12,20;
Precio marginal en el sistema portugués (EUR/MWh);  27,05;  23,94;  20,00;  19,19;  17,63;  18,10;  20,00;  25,56;  33,97;  33,48;  32,03;  25,00;  20,01;  17,00;  12,30;  10,94;  10,50;  10,70;  12,40;  19,00;  21,00;  20,00;  14,10;  12,20;
Energía total de compra sistema español (MWh);  18484,0;  16850,2;  15792,2;  15408,3;  15368,2;  15857,2;  17762,1;  19878,2;  21703,8;  22841,1;  23656,7;  24038,2;  23944,2;  23816,3;  23084,1;  23091,0;  22883,3;  22180,7;  21598,6;  23332,6;  24234,3;  23421,7;  22338,7;  20368,1;
Energía total de venta sistema español (MWh);  18657,3;  17784,0;  17306,3;  16634,3;  16950,6;  17249,8;  18559,1;  19246,7;  20972,0;  21983,9;  23893,4;  24455,3;  25099,0;  25014,7;  25045,1;  25065,0;  24755,0;  24007,3;  23170,6;  23924,3;  24437,4;  23943,7;  23448,3;  22310,0;
Energía total de compra sistema portugués (MWh);   5699,3;   5158,7;   4783,6;   4593,3;   4518,2;   4492,4;   4527,0;   4798,5;   5431,9;   6364,7;   6838,0;   6926,7;   7148,6;   6960,1;   7755,3;   7856,2;   7773,1;   7681,8;   7394,0;   6630,4;   6902,9;   6727,2;   6493,2;   7112,8;
Energía total de venta sistema portugués (MWh);   7526,0;   6524,9;   5569,5;   5326,9;   5235,8;   5399,8;   6030,0;   7430,0;   8071,8;   8123,3;   8331,8;   8509,6;   7993,8;   7761,7;   7794,3;   7882,2;   7901,4;   7855,2;   7822,0;   8038,7;   8699,8;   8205,2;   7383,6;   7170,9;
Energía total del mercado Ibérico (MWh);  24183,3;  22008,9;  20575,8;  20001,6;  19886,4;  20349,6;  22289,1;  24676,7;  27135,7;  29205,8;  30494,7;  30964,9;  31092,8;  30776,4;  30839,4;  30947,2;  30656,4;  29862,5;  28992,6;  29963,0;  31137,2;  30148,9;  28831,9;  27480,9;
Energía total con bilaterales del mercado Ibérico (MWh);  32764,5;  30159,0;  28418,7;  27720,9;  27577,0;  28175,3;  30635,6;  33810,3;  36790,3;  39177,0;  40609,3;  41056,5;  41140,5;  40792,0;  40519,5;  40313,4;  40015,6;  39186,5;  38422,5;  39972,8;  41458,3;  40352,1;  38389,9;  36493,9;
Importación de España desde Portugal (MWh);   1826,7;   1366,2;    785,9;    733,6;    717,6;    907,4;   1503,0;   2631,5;   2639,9;   1758,6;   1493,8;   1582,9;    845,2;    801,6;     39,0;     26,0;    128,3;    173,4;    428,0;   1408,3;   1796,9;   1478,0;    890,4;     58,1;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
