OMIE - Mercado de electricidad;Fecha Emisión :08/03/2016 - 10:04;;25/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  24,04;  22,00;  16,69;  11,00;   9,05;  12,40;  21,87;  27,00;  32,00;  33,27;  32,12;  30,44;  30,07;  27,59;  25,00;  24,78;  25,39;  30,00;  32,60;  47,00;  40,70;  33,00;  31,00;  27,09;
Precio marginal en el sistema portugués (EUR/MWh);  24,04;  22,00;  16,69;  11,00;   9,05;  12,40;  21,87;  27,00;  32,00;  33,27;  32,12;  30,44;  30,07;  27,59;  25,00;  24,78;  25,39;  30,00;  32,60;  47,00;  40,70;  33,00;  31,00;  27,09;
Energía total de compra sistema español (MWh);  19836,3;  17839,9;  17116,8;  16819,1;  16910,1;  17208,6;  18426,0;  21201,1;  23069,0;  23885,3;  24511,0;  24169,5;  24259,1;  24363,3;  23696,1;  22783,6;  22555,7;  22007,8;  22316,1;  24119,7;  24737,2;  24858,8;  22658,4;  20240,6;
Energía total de venta sistema español (MWh);  20091,6;  19860,5;  19814,8;  19405,3;  19467,0;  19872,0;  20258,5;  21201,0;  22420,5;  23840,8;  23544,2;  24186,7;  24305,4;  24419,1;  24083,1;  23883,0;  23340,3;  22586,6;  22421,6;  23356,6;  22391,2;  21633,4;  20470,7;  19832,3;
Energía total de compra sistema portugués (MWh);   6187,6;   5811,6;   6060,3;   5934,1;   5822,2;   5795,3;   5060,9;   4991,7;   5667,1;   6458,1;   6985,1;   7168,2;   7254,0;   7070,6;   6913,4;   7001,3;   6933,1;   6855,8;   6714,6;   7027,4;   7287,1;   7195,7;   6926,0;   6609,4;
Energía total de venta sistema portugués (MWh);   7019,1;   5991,0;   5562,3;   5547,9;   5465,3;   5331,9;   5428,4;   6691,8;   8015,6;   8202,6;   8121,8;   7977,6;   7966,6;   7301,9;   7212,8;   7205,8;   7119,7;   7977,0;   8309,1;   8493,9;   8451,7;   8321,1;   8022,5;   6928,3;
Energía total del mercado Ibérico (MWh);  26023,9;  23651,5;  23177,1;  22753,2;  22732,3;  23003,9;  23486,9;  26192,8;  28736,1;  30343,4;  31496,1;  31337,7;  31513,1;  31433,9;  30609,5;  29784,9;  29488,8;  28863,6;  29030,7;  31147,1;  32024,3;  32054,5;  29584,4;  26850,0;
Energía total con bilaterales del mercado Ibérico (MWh);  33513,5;  31063,9;  30447,0;  29905,8;  29866,5;  30214,1;  30949,8;  34830,6;  37954,6;  39635,4;  40807,1;  40530,9;  40572,6;  40519,5;  39408,8;  38446,9;  38111,0;  37551,5;  38327,9;  40694,1;  41631,2;  41541,6;  38771,7;  35400,5;
Importación de España desde Portugal (MWh);    831,5;    179,4;      0,0;      0,0;      0,0;      0,0;    367,5;   1700,1;   2348,5;   1744,5;   1136,7;    809,4;    712,6;    231,3;    299,4;    204,5;    186,6;   1121,2;   1594,5;   1466,5;   1164,6;   1125,4;   1096,5;    318,9;
Exportación de España a Portugal (MWh);      0,0;      0,0;    498,0;    386,2;    356,9;    463,4;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
