OMIE - Mercado de electricidad;Fecha Emisión :31/03/2016 - 13:23;;01/04/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  23,40;  20,98;  21,19;  20,64;  21,13;  21,78;  29,73;  36,00;  38,50;  39,75;  37,05;  36,50;  35,18;  34,15;  33,45;  33,32;  33,39;  33,32;  33,45;  35,53;  40,10;  48,04;  39,66;  36,00;
Precio marginal en el sistema portugués (EUR/MWh);  23,40;  20,98;  21,19;  20,64;  21,13;  21,78;  29,73;  34,45;  35,69;  39,75;  37,05;  36,50;  35,18;  34,15;  33,45;  33,32;  33,39;  33,32;  33,45;  35,53;  40,10;  48,04;  39,66;  36,00;
Energía total de compra sistema español (MWh);  18677,1;  17936,2;  16533,5;  16342,8;  15785,3;  16056,4;  16980,8;  19611,1;  21637,0;  22766,5;  23349,2;  23338,1;  23217,7;  23132,7;  22446,7;  21651,5;  21151,6;  20641,8;  20367,8;  20482,7;  21792,3;  22073,8;  21099,5;  19300,7;
Energía total de venta sistema español (MWh);  19157,3;  18739,6;  18393,0;  18002,7;  18009,1;  18048,3;  18138,5;  19211,1;  21237,0;  22169,6;  22737,2;  23213,0;  22345,0;  21579,0;  21298,3;  20743,2;  20109,8;  19480,8;  18739,3;  17810,5;  18677,4;  18885,4;  17909,8;  15879,6;
Energía total de compra sistema portugués (MWh);   6540,4;   6075,8;   5742,2;   5626,5;   5426,6;   5390,1;   4388,9;   4626,2;   5177,4;   5968,4;   6427,5;   6603,4;   6723,6;   6541,6;   6469,2;   6576,7;   6507,2;   6394,8;   6285,9;   6248,8;   6422,9;   6494,5;   6304,1;   5930,0;
Energía total de venta sistema portugués (MWh);   5224,9;   4395,6;   4341,0;   3997,2;   4188,3;   4384,4;   4863,6;   6826,2;   7377,4;   7542,8;   7320,0;   7330,3;   7183,3;   6575,5;   5767,6;   5635,0;   5699,0;   5705,8;   6064,4;   7478,3;   7687,8;   7832,9;   7643,8;   7501,1;
Energía total del mercado Ibérico (MWh);  25217,5;  24012,0;  22275,7;  21969,3;  21211,9;  21446,5;  21369,7;  24237,3;  26814,4;  28734,9;  29776,7;  29941,5;  29941,3;  29674,3;  28915,9;  28228,2;  27658,8;  27036,6;  26653,7;  26731,5;  28215,2;  28568,3;  27403,6;  25230,7;
Energía total con bilaterales del mercado Ibérico (MWh);  33629,6;  32021,8;  30028,1;  29614,5;  28848,8;  29161,5;  29537,5;  33091,4;  36048,5;  38362,5;  39598,0;  39788,6;  39756,8;  39452,0;  38420,8;  37466,2;  36761,8;  36059,1;  35661,5;  36002,0;  37766,2;  38512,3;  36924,0;  34172,8;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    474,7;   2200,0;   2200,0;   1574,4;    892,5;    726,9;    459,7;     33,9;      0,0;      0,0;      0,0;      0,0;      0,0;   1229,5;   1264,9;   1338,4;   1339,7;   1571,1;
Exportación de España a Portugal (MWh);   1315,5;   1680,2;   1401,2;   1629,3;   1238,3;   1005,7;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    701,6;    941,7;    808,2;    689,0;    221,5;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
