OMIE - Mercado de electricidad;Fecha Emisión :30/03/2016 - 13:28;;31/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  23,34;  22,27;  21,50;  21,00;  19,00;  19,00;  21,00;  25,50;  30,46;  28,20;  25,00;  22,59;  22,22;  21,50;  21,00;  19,00;  18,00;  19,00;  20,00;  25,01;  31,99;  28,00;  26,70;  24,95;
Precio marginal en el sistema portugués (EUR/MWh);  23,34;  22,27;  21,50;  21,00;  19,00;  19,00;  21,00;  22,91;  23,69;  28,20;  25,00;  22,59;  22,22;  21,50;  21,00;  19,00;  18,00;  19,00;  20,00;  25,01;  31,99;  28,00;  26,70;  24,95;
Energía total de compra sistema español (MWh);  18455,1;  16458,1;  15654,7;  15121,6;  16092,3;  16683,9;  17674,2;  19947,4;  21722,2;  22773,7;  23470,6;  23502,8;  23236,8;  23430,2;  23102,1;  22992,1;  22816,2;  22080,0;  21483,0;  22138,0;  23701,7;  23772,5;  22377,9;  19437,9;
Energía total de venta sistema español (MWh);  16107,5;  16126,5;  16144,3;  16358,9;  17128,2;  17674,4;  18403,2;  19197,4;  20972,2;  22067,6;  23219,1;  24278,0;  24993,9;  25316,9;  25131,3;  25244,8;  25216,2;  24702,0;  24103,8;  22894,9;  22453,2;  21072,4;  20782,4;  19849,0;
Energía total de compra sistema portugués (MWh);   5525,6;   5385,1;   5139,7;   4941,6;   4846,4;   4790,3;   4840,0;   4747,5;   5172,7;   6086,3;   6511,8;   6970,3;   7219,6;   7041,8;   6924,1;   7035,0;   6995,7;   6989,3;   6915,0;   6576,5;   6840,5;   6821,4;   6585,2;   6156,9;
Energía total de venta sistema portugués (MWh);   7127,5;   5949,3;   5405,4;   5454,3;   5560,5;   5549,8;   5861,0;   7247,5;   7672,7;   8542,4;   8513,3;   7945,1;   7212,5;   6905,1;   6644,9;   6532,3;   6345,7;   6117,3;   6044,2;   7619,6;   8577,0;   7681,6;   7306,6;   6688,6;
Energía total del mercado Ibérico (MWh);  23980,7;  21843,2;  20794,4;  20063,2;  20938,7;  21474,2;  22514,2;  24694,9;  26894,9;  28860,0;  29982,4;  30473,1;  30456,4;  30472,0;  30026,2;  30027,1;  29811,9;  29069,3;  28398,0;  28714,5;  30542,2;  30593,9;  28963,1;  25594,8;
Energía total con bilaterales del mercado Ibérico (MWh);  32348,6;  29772,4;  28474,3;  27649,9;  28502,0;  29154,0;  30652,5;  33563,5;  36333,3;  38590,7;  39863,1;  40387,3;  40315,0;  40341,0;  39311,0;  39187,2;  38958,0;  38173,2;  37707,0;  38621,9;  40868,1;  40784,0;  38637,0;  34432,7;
Importación de España desde Portugal (MWh);   1601,9;    564,2;    265,7;    512,7;    714,1;    759,5;   1021,0;   2500,0;   2500,0;   2456,1;   2001,5;    974,8;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;   1043,1;   1736,5;    860,2;    721,4;    531,7;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      7,1;    136,7;    279,2;    502,7;    650,0;    872,0;    870,8;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
