OMIE - Mercado de electricidad;Fecha Emisión :07/03/2016 - 13:34;;08/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  21,53;  20,78;  18,31;  17,20;  19,53;  21,28;  23,00;  30,00;  33,63;  35,65;  33,98;  32,74;  30,00;  31,32;  27,60;  26,00;  26,00;  28,35;  33,63;  49,89;  48,48;  47,33;  35,13;  28,21;
Precio marginal en el sistema portugués (EUR/MWh);  21,53;  20,78;  18,31;  17,20;  19,53;  21,28;  23,00;  30,00;  32,69;  35,65;  33,98;  32,74;  30,00;  31,32;  27,60;  26,00;  26,00;  28,35;  33,63;  49,89;  48,48;  47,33;  35,13;  28,21;
Energía total de compra sistema español (MWh);  18874,0;  16966,7;  16054,7;  15601,7;  15450,8;  15861,8;  17882,7;  20658,2;  22495,3;  23484,1;  24160,7;  24261,0;  24065,8;  24075,3;  23212,7;  22557,0;  21814,2;  21151,3;  20999,6;  22312,6;  23668,5;  23675,8;  22189,2;  19777,9;
Energía total de venta sistema español (MWh);  19093,4;  18910,2;  18392,0;  17949,6;  17781,5;  17610,3;  17972,3;  19767,9;  20995,3;  22131,4;  23481,2;  23997,3;  23737,2;  24116,4;  23605,6;  23096,7;  22363,0;  21722,6;  20772,5;  21517,9;  20694,3;  20497,1;  19054,8;  17743,0;
Energía total de compra sistema portugués (MWh);   5881,0;   5926,6;   5814,3;   5612,2;   5453,5;   5004,4;   4462,5;   4667,3;   5291,9;   6371,9;   6856,9;   6969,4;   7051,8;   6830,5;   6650,0;   6743,5;   6660,9;   6578,0;   6447,3;   6632,3;   6933,2;   6811,2;   6545,5;   6250,2;
Energía total de venta sistema portugués (MWh);   6361,6;   5383,1;   4877,0;   4664,3;   4522,8;   4655,9;   5772,9;   6257,6;   7491,9;   8424,6;   8236,4;   7933,1;   7345,2;   7489,4;   6957,1;   6903,8;   6812,1;   6706,7;   7374,4;   8127,0;   8307,4;   8389,9;   8079,9;   6780,5;
Energía total del mercado Ibérico (MWh);  24755,0;  22893,3;  21869,0;  21213,9;  20904,3;  20866,2;  22345,2;  25325,5;  27787,2;  29856,0;  31017,6;  31230,4;  31117,6;  30905,8;  29862,7;  29300,5;  28475,1;  27729,3;  27446,9;  28944,9;  30601,7;  30487,0;  28734,7;  26028,1;
Energía total con bilaterales del mercado Ibérico (MWh);  33210,3;  30914,0;  29636,1;  28870,5;  28549,8;  28628,4;  30657,1;  34443,1;  37486,4;  39884,9;  41196,9;  41400,3;  41270,7;  40973,6;  39600,5;  38853,7;  37938,0;  37153,6;  37026,2;  39168,0;  41200,7;  40996,5;  38464,2;  35036,2;
Importación de España desde Portugal (MWh);    480,6;      0,0;      0,0;      0,0;      0,0;      0,0;   1310,4;   1590,3;   2200,0;   2052,7;   1379,5;    963,7;    293,4;    658,9;    307,1;    160,3;    151,2;    128,7;    927,1;   1494,7;   1374,2;   1578,7;   1534,4;    530,3;
Exportación de España a Portugal (MWh);      0,0;    543,5;    937,3;    947,9;    930,7;    348,5;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
