OMIE - Mercado de electricidad;Fecha Emisión :16/04/2016 - 13:03;;17/04/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  19,33;  17,74;  15,85;  15,13;  15,15;  14,57;  14,80;  14,90;  16,69;  18,69;  18,69;  18,94;  18,50;  16,86;  14,89;  13,58;  12,26;  14,80;  17,65;  21,19;  26,40;  42,69;  32,24;  27,25;
Precio marginal en el sistema portugués (EUR/MWh);  19,33;  17,74;  15,85;  15,13;  15,15;  14,57;  14,80;  14,90;  16,69;  18,69;  18,69;  18,94;  18,50;  16,86;  14,89;  13,58;  12,26;  14,80;  17,65;  21,19;  26,40;  42,69;  32,24;  27,25;
Energía total de compra sistema español (MWh);  15646,1;  14729,4;  14694,5;  14692,0;  14410,7;  14540,0;  14566,1;  14555,0;  14384,4;  15012,3;  16346,6;  17242,8;  17691,7;  18196,9;  19051,8;  18224,0;  17576,6;  16719,8;  15497,4;  15343,9;  16929,4;  19248,7;  18587,6;  16999,5;
Energía total de venta sistema español (MWh);  16259,7;  16044,2;  16134,4;  15883,1;  15480,6;  14770,6;  14085,0;  13918,5;  14814,0;  15586,7;  16223,3;  16960,7;  17311,2;  17542,0;  17436,7;  17534,0;  17168,6;  16893,6;  16915,8;  16651,7;  16175,8;  15923,5;  15326,3;  14927,9;
Energía total de compra sistema portugués (MWh);   4975,2;   4516,9;   4184,5;   3972,5;   3824,8;   3768,6;   3787,0;   3834,1;   3888,7;   4125,4;   4523,4;   4860,6;   5091,4;   5170,9;   5033,9;   4884,1;   4772,1;   4669,5;   4700,6;   4805,1;   5067,6;   5447,1;   5442,9;   5206,9;
Energía total de venta sistema portugués (MWh);   5522,5;   4854,4;   4748,9;   4749,9;   4763,3;   4694,6;   4584,0;   4481,7;   4449,7;   4713,2;   4781,1;   5003,9;   4752,7;   4724,0;   4741,2;   4792,8;   4728,2;   4754,7;   4758,7;   5686,5;   6216,1;   6272,3;   6204,2;   6039,2;
Energía total del mercado Ibérico (MWh);  20621,3;  19246,3;  18879,0;  18664,5;  18235,5;  18308,6;  18353,1;  18389,1;  18273,1;  19137,7;  20870,0;  22103,4;  22783,1;  23367,8;  24085,7;  23108,1;  22348,7;  21389,3;  20198,0;  20149,0;  21997,0;  24695,8;  24030,5;  22206,4;
Energía total con bilaterales del mercado Ibérico (MWh);  20621,3;  19246,3;  18879,0;  18664,5;  18235,5;  18308,6;  18353,1;  18389,1;  18273,1;  19137,7;  20870,0;  22103,4;  22783,1;  23367,8;  24085,7;  23108,1;  22348,7;  21389,3;  20198,0;  20149,0;  21997,0;  24695,8;  24030,5;  22206,4;
Importación de España desde Portugal (MWh);    547,3;    337,5;    564,4;    777,4;    938,5;    926,0;    797,0;    647,6;    561,0;    587,8;    257,7;    143,3;      0,0;      0,0;      0,0;      0,0;      0,0;     85,2;     58,1;    881,4;   1148,5;    825,2;    761,3;    832,3;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    338,7;    446,9;    292,7;     91,3;     43,9;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
