OMIE - Mercado de electricidad;Fecha Emisión :13/02/2016 - 13:22;;14/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);   5,00;   4,00;   2,30;   2,30;   2,30;   2,30;   2,30;   2,30;   3,00;   5,00;   6,00;   7,00;   6,00;   6,00;   6,00;   4,00;   4,00;   4,00;   6,00;  13,00;  17,00;  17,50;  16,00;  12,40;
Precio marginal en el sistema portugués (EUR/MWh);   5,00;   4,00;   2,30;   2,30;   2,30;   2,30;   2,30;   2,00;   0,00;   0,00;   2,00;   5,00;   5,00;   5,00;   5,00;   4,00;   4,00;   4,00;   6,00;  13,00;  17,00;  17,50;  16,00;  10,80;
Energía total de compra sistema español (MWh);  24543,8;  22443,9;  21547,7;  20837,0;  20529,9;  20528,6;  20794,3;  21126,0;  21790,7;  23470,7;  25380,2;  26076,9;  25941,5;  26142,0;  25953,6;  24969,6;  24310,4;  23951,8;  25015,5;  27207,6;  26971,4;  27096,7;  26702,4;  25630,4;
Energía total de venta sistema español (MWh);  23924,6;  22253,0;  21171,9;  20390,4;  19979,9;  19816,4;  19992,3;  20226,0;  20890,7;  22570,7;  24480,2;  25176,9;  25041,5;  25242,0;  25053,6;  24351,6;  23624,2;  23266,4;  23989,0;  26068,7;  25935,9;  26034,0;  25550,8;  24380,4;
Energía total de compra sistema portugués (MWh);   5099,1;   4730,5;   4420,0;   4224,2;   4130,3;   4102,7;   4115,0;   4181,4;   4328,3;   4507,9;   4765,2;   5096,2;   5291,6;   5388,1;   5272,9;   5167,0;   5070,7;   4974,5;   5093,0;   5530,7;   5767,6;   5705,6;   5506,2;   5342,7;
Energía total de venta sistema portugués (MWh);   7868,3;   7121,4;   6995,8;   6870,8;   6880,3;   7014,9;   7117,0;   7281,4;   7428,3;   7607,9;   7865,2;   8196,2;   8391,6;   8488,1;   8372,9;   7985,0;   7956,9;   7859,9;   8269,5;   8819,6;   8953,1;   8918,3;   8807,8;   8742,7;
Energía total del mercado Ibérico (MWh);  29642,9;  27174,4;  25967,7;  25061,2;  24660,2;  24631,3;  24909,3;  25307,4;  26119,0;  27978,6;  30145,4;  31173,1;  31233,1;  31530,1;  31226,5;  30136,6;  29381,1;  28926,3;  30108,5;  32738,3;  32739,0;  32802,3;  32208,6;  30973,1;
Energía total con bilaterales del mercado Ibérico (MWh);  33562,9;  31065,9;  29686,0;  28599,6;  28123,6;  28087,4;  28419,9;  28872,7;  29844,6;  31949,2;  34218,0;  35455,4;  35554,1;  36041,5;  35604,6;  34180,3;  33415,4;  32971,7;  34307,8;  37576,5;  37941,4;  38037,1;  37066,5;  35515,6;
Importación de España desde Portugal (MWh);   2769,2;   2390,9;   2575,8;   2646,6;   2750,0;   2912,2;   3002,0;   3100,0;   3100,0;   3100,0;   3100,0;   3100,0;   3100,0;   3100,0;   3100,0;   2818,0;   2886,2;   2885,4;   3176,5;   3288,9;   3185,5;   3212,7;   3301,6;   3400,0;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
