OMIE - Mercado de electricidad;Fecha Emisión :28/02/2016 - 13:20;;29/02/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  13,80;   8,50;   6,00;   5,10;   5,10;   6,00;  12,40;  22,12;  25,15;  27,00;  27,00;  22,19;  21,21;  21,69;  21,00;  18,13;  20,00;  19,50;  27,15;  42,78;  40,00;  36,71;  33,07;  25,15;
Precio marginal en el sistema portugués (EUR/MWh);  13,80;   8,50;   6,00;   5,10;   5,10;   6,00;  12,40;  22,12;  25,15;  27,00;  27,00;  22,19;  21,21;  21,69;  21,00;  18,13;  20,00;  19,50;  27,15;  42,78;  40,00;  36,71;  33,07;  25,15;
Energía total de compra sistema español (MWh);  20880,0;  20244,1;  19788,6;  19589,7;  19692,2;  20024,1;  21175,9;  24094,9;  25573,7;  26353,4;  26966,2;  27062,0;  26875,9;  27258,9;  26954,4;  26064,9;  25401,4;  24963,3;  25554,5;  27262,0;  28029,8;  28008,1;  25988,3;  23463,8;
Energía total de venta sistema español (MWh);  23073,9;  22529,6;  21966,9;  21736,6;  21808,3;  22081,0;  23357,6;  24270,6;  25688,5;  26887,9;  28132,8;  29288,3;  29688,6;  29711,4;  29653,2;  29351,7;  28662,3;  28310,8;  27130,6;  27947,6;  27570,7;  27352,3;  27292,5;  25404,5;
Energía total de compra sistema portugués (MWh);   6291,6;   5829,4;   5471,6;   5272,8;   5183,1;   5170,2;   5279,4;   4777,2;   5451,7;   6403,6;   6929,8;   7089,4;   7206,2;   7061,2;   6902,0;   7004,4;   6939,3;   6857,0;   6747,9;   7042,4;   7293,3;   7177,2;   6919,9;   6594,6;
Energía total de venta sistema portugués (MWh);   6097,7;   5843,9;   5593,3;   5425,9;   5367,0;   5413,3;   5397,7;   6601,5;   7336,9;   7869,1;   7763,2;   6863,1;   6393,5;   6608,7;   6203,2;   5717,6;   5678,4;   5509,5;   7171,8;   7505,4;   7580,9;   7637,7;   7511,7;   6653,9;
Energía total del mercado Ibérico (MWh);  27171,6;  26073,5;  25260,2;  24862,5;  24875,3;  25194,3;  26455,3;  28872,1;  31025,4;  32757,0;  33896,0;  34151,4;  34082,1;  34320,1;  33856,4;  33069,3;  32340,7;  31820,3;  32302,4;  34304,4;  35323,1;  35185,3;  32908,2;  30058,4;
Energía total con bilaterales del mercado Ibérico (MWh);  32742,8;  31747,6;  30625,6;  30096,6;  30040,2;  30536,7;  31788,6;  34701,0;  37820,2;  39768,4;  41112,4;  41343,7;  41214,3;  41280,3;  40360,7;  39601,2;  38867,9;  38530,8;  39256,1;  41952,6;  43064,9;  42748,8;  39762,3;  36219,6;
Importación de España desde Portugal (MWh);      0,0;     14,5;    121,7;    153,1;    183,9;    243,1;    118,3;   1824,3;   1885,2;   1465,5;    833,4;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    423,9;    463,0;    287,6;    460,5;    591,8;     59,3;
Exportación de España a Portugal (MWh);    193,9;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    226,3;    812,7;    452,5;    698,8;   1286,8;   1260,9;   1347,5;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
