OMIE - Mercado de electricidad;Fecha Emisión :15/03/2016 - 13:31;;16/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  38,40;  32,78;  30,00;  28,01;  27,70;  27,70;  30,00;  36,36;  37,91;  39,21;  38,40;  36,36;  35,06;  35,06;  34,63;  32,78;  32,64;  32,64;  35,60;  41,36;  43,89;  42,69;  40,98;  38,50;
Precio marginal en el sistema portugués (EUR/MWh);  38,40;  32,78;  30,00;  29,66;  29,50;  29,50;  30,00;  36,36;  37,91;  39,21;  38,40;  36,36;  35,06;  35,06;  34,63;  32,78;  32,64;  32,64;  35,60;  41,36;  43,89;  42,69;  40,98;  38,50;
Energía total de compra sistema español (MWh);  18787,9;  17324,1;  16268,1;  16243,0;  16391,6;  16912,7;  18287,3;  21420,4;  23608,4;  24287,7;  24794,2;  24702,1;  24510,1;  24769,6;  24233,5;  23486,4;  22819,2;  22524,8;  22229,4;  23791,0;  25202,2;  24724,1;  23037,4;  20592,3;
Energía total de venta sistema español (MWh);  18497,1;  17197,3;  16359,0;  16338,0;  16486,6;  17007,7;  17772,2;  19737,6;  21695,2;  22804,3;  23791,3;  23945,5;  23984,3;  24169,2;  23954,7;  23184,4;  22309,7;  21366,9;  21496,4;  22639,2;  22329,4;  22090,4;  20721,7;  19061,8;
Energía total de compra sistema portugués (MWh);   5693,6;   5176,0;   5156,3;   5156,3;   5197,8;   5257,6;   4765,3;   4721,9;   5405,9;   6355,9;   6854,0;   6981,8;   7089,2;   6897,2;   6698,4;   6807,9;   6710,3;   6652,9;   6463,8;   6630,9;   6953,2;   6821,2;   6554,9;   6283,7;
Energía total de venta sistema portugués (MWh);   4679,4;   3997,8;   3760,4;   3756,3;   3797,8;   3857,6;   4183,3;   4999,7;   5914,1;   6434,3;   6451,9;   6333,4;   6210,0;   6092,6;   5572,2;   5704,9;   5814,8;   6405,8;   6570,8;   7520,6;   8421,0;   8049,9;   7465,6;   6509,2;
Energía total del mercado Ibérico (MWh);  24481,5;  22500,1;  21424,4;  21399,3;  21589,4;  22170,3;  23052,6;  26142,3;  29014,3;  30643,6;  31648,2;  31683,9;  31599,3;  31666,8;  30931,9;  30294,3;  29529,5;  29177,7;  28693,2;  30421,9;  32155,4;  31545,3;  29592,3;  26876,0;
Energía total con bilaterales del mercado Ibérico (MWh);  32916,4;  30504,0;  29182,5;  29051,9;  29209,7;  29908,3;  31284,9;  35024,3;  38606,4;  40742,0;  41906,2;  41953,0;  41837,6;  41555,1;  40296,0;  39582,9;  38781,3;  38425,3;  38216,5;  40769,3;  42915,7;  42123,5;  39400,4;  35988,3;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    277,8;    508,2;     78,4;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    107,0;    889,7;   1467,8;   1228,7;    910,7;    225,5;
Exportación de España a Portugal (MWh);   1014,2;   1178,2;   1395,9;   1400,0;   1400,0;   1400,0;    582,0;      0,0;      0,0;      0,0;    402,1;    648,4;    879,2;    804,6;   1126,2;   1103,0;    895,5;    247,1;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
