OMIE - Mercado de electricidad;Fecha Emisión :01/03/2016 - 14:29;;02/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  23,30;  18,35;  14,13;  13,54;  13,94;  15,88;  20,69;  26,40;  28,67;  30,25;  30,00;  28,00;  27,43;  26,00;  20,10;  17,40;  15,00;  16,99;  24,50;  30,69;  31,00;  28,75;  28,00;  24,13;
Precio marginal en el sistema portugués (EUR/MWh);  23,30;  18,35;  14,13;  13,54;  13,94;  15,88;  20,69;  26,40;  28,67;  30,25;  30,00;  28,00;  27,43;  26,00;  20,10;  17,40;  15,00;  16,99;  24,50;  30,69;  31,00;  28,75;  28,00;  24,13;
Energía total de compra sistema español (MWh);  21537,9;  20155,7;  19686,7;  19227,8;  19273,3;  19251,5;  20480,5;  23133,7;  25024,0;  26110,1;  26715,0;  26812,1;  26704,8;  26640,6;  26050,6;  25547,7;  25383,6;  24764,7;  24582,4;  26517,9;  27251,2;  26844,5;  24934,8;  22470,5;
Energía total de venta sistema español (MWh);  22071,1;  21473,7;  21101,3;  20865,8;  20879,5;  21101,8;  21571,8;  22511,2;  23425,9;  24755,5;  25971,6;  26737,8;  27343,6;  27616,7;  27845,4;  28135,5;  27948,9;  27199,8;  26637,0;  27530,4;  26880,7;  26119,9;  25784,9;  24107,0;
Energía total de compra sistema portugués (MWh);   5701,2;   5720,5;   5701,3;   5509,5;   5433,1;   5326,4;   4516,3;   4827,9;   5459,0;   6328,2;   6787,4;   6969,0;   7072,2;   6891,1;   6857,0;   7690,5;   7713,7;   7567,4;   6497,3;   6644,3;   6901,9;   6765,1;   6505,1;   6201,3;
Energía total de venta sistema portugués (MWh);   6068,0;   4703,5;   4515,9;   4632,2;   4762,2;   4871,2;   5425,0;   6350,4;   7023,8;   7547,4;   7352,1;   6731,2;   6461,1;   6292,0;   5962,2;   6002,7;   6048,4;   6032,3;   6442,7;   7631,8;   7704,1;   7544,8;   7201,0;   6564,8;
Energía total del mercado Ibérico (MWh);  27239,1;  25876,2;  25388,0;  24737,3;  24706,4;  24577,9;  24996,8;  27961,6;  30483,0;  32438,3;  33502,4;  33781,1;  33777,0;  33531,7;  32907,6;  33238,2;  33097,3;  32332,1;  31079,7;  33162,2;  34153,1;  33609,6;  31439,9;  28671,8;
Energía total con bilaterales del mercado Ibérico (MWh);  32885,7;  31074,4;  30314,0;  29549,6;  29517,6;  29517,2;  30465,6;  34281,9;  37372,2;  39614,5;  40820,9;  41096,7;  41058,3;  40808,8;  39869,9;  40031,5;  39812,8;  39023,7;  37959,6;  40643,2;  41997,7;  41299,4;  38335,0;  34882,3;
Importación de España desde Portugal (MWh);    366,8;      0,0;      0,0;      0,0;      0,0;      0,0;    908,7;   1522,5;   1564,8;   1219,2;    564,7;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    987,5;    802,2;    779,7;    695,9;    363,5;
Exportación de España a Portugal (MWh);      0,0;   1017,0;   1185,4;    877,3;    670,9;    455,2;      0,0;      0,0;      0,0;      0,0;      0,0;    237,8;    611,1;    599,1;    894,8;   1687,8;   1665,3;   1535,1;     54,6;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
