OMIE - Mercado de electricidad;Fecha Emisión :12/03/2016 - 13:19;;13/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  26,51;  22,84;  21,67;  21,05;  21,12;  21,17;  21,11;  21,08;  21,31;  21,69;  21,73;  21,69;  21,62;  22,90;  22,90;  21,20;  18,50;  20,19;  26,08;  33,55;  35,09;  34,98;  30,69;  26,63;
Precio marginal en el sistema portugués (EUR/MWh);  26,51;  22,84;  21,67;  21,05;  21,12;  21,17;  21,11;  21,08;  21,31;  21,69;  21,73;  21,69;  21,62;  22,90;  22,90;  21,74;  21,62;  21,61;  26,08;  33,55;  35,09;  34,98;  30,69;  26,63;
Energía total de compra sistema español (MWh);  17710,2;  16535,7;  15333,2;  14689,7;  14444,8;  14589,4;  15160,7;  15251,2;  16099,9;  18073,9;  19496,0;  20098,3;  19993,2;  20206,2;  20026,1;  18969,9;  18756,0;  18054,4;  17568,6;  20224,7;  22041,9;  22108,2;  21310,2;  19671,9;
Energía total de venta sistema español (MWh);  16906,7;  16050,9;  15326,5;  14681,7;  14613,4;  14590,0;  14563,1;  14850,9;  15478,8;  16653,2;  17798,4;  18284,4;  18455,1;  18295,7;  18079,6;  17669,9;  17456,0;  18121,5;  18065,4;  18666,1;  18771,7;  18831,5;  18092,8;  17111,1;
Energía total de compra sistema portugués (MWh);   5242,7;   4801,0;   4568,8;   4584,4;   4418,2;   4260,7;   4333,4;   4250,2;   4218,0;   4382,7;   4820,9;   5184,1;   5484,0;   5413,8;   5223,3;   5175,6;   5071,2;   5048,1;   4926,0;   5343,4;   5874,6;   5953,8;   5804,8;   5581,8;
Energía total de venta sistema portugués (MWh);   5353,7;   4745,6;   4163,1;   3598,3;   3668,7;   3721,2;   3931,7;   4170,4;   4407,4;   4673,0;   4730,7;   4674,5;   4322,1;   4624,3;   4469,8;   3775,6;   3671,2;   3648,1;   4734,8;   6345,8;   6444,8;   6530,5;   6322,2;   5763,9;
Energía total del mercado Ibérico (MWh);  22952,9;  21336,7;  19902,0;  19274,1;  18863,0;  18850,1;  19494,1;  19501,4;  20317,9;  22456,6;  24316,9;  25282,4;  25477,2;  25620,0;  25249,4;  24145,5;  23827,2;  23102,5;  22494,6;  25568,1;  27916,5;  28062,0;  27115,0;  25253,7;
Energía total con bilaterales del mercado Ibérico (MWh);  31420,6;  29346,0;  27598,8;  26725,4;  26262,0;  26275,7;  27008,4;  26998,2;  27941,9;  30655,7;  33035,0;  34174,3;  34363,7;  34406,4;  33865,3;  32629,0;  32103,9;  31283,7;  30824,9;  34666,7;  37666,2;  37867,1;  36469,9;  34055,9;
Importación de España desde Portugal (MWh);    111,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    189,4;    290,3;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;   1002,4;    570,2;    576,7;    517,4;    182,1;
Exportación de España a Portugal (MWh);      0,0;     55,4;    405,7;    986,1;    749,5;    539,5;    401,7;     79,8;      0,0;      0,0;     90,2;    509,6;   1161,9;    789,5;    753,5;   1400,0;   1400,0;   1400,0;    191,2;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
