DATA,SESSAO,HORA,PRECO_PT,PRECO_ES
2/08/2015,0,17,40.16,40.16
2/08/2015,0,18,40.16,40.16
2/08/2015,0,19,42.56,42.56
2/08/2015,0,20,44.76,44.76
2/08/2015,0,21,48.62,48.62
2/08/2015,0,22,63.5,63.5
2/08/2015,0,23,66.78,66.78
2/08/2015,0,24,61.98,61.98
2/08/2015,1,1,52.58,52.58
2/08/2015,1,2,44.36,44.36
2/08/2015,1,3,43.98,43.98
2/08/2015,1,4,40.68,40.68
2/08/2015,1,5,39.41,39.41
2/08/2015,1,6,42.3,42.3
2/08/2015,1,7,42.99,42.99
2/08/2015,1,8,40.16,40.16
2/08/2015,1,9,38.9,38.9
2/08/2015,1,10,42,42
2/08/2015,1,11,40.74,40.74
2/08/2015,1,12,43.82,43.82
2/08/2015,1,13,45.5,45.5
2/08/2015,1,14,45.67,45.67
2/08/2015,1,15,45.13,45.13
2/08/2015,1,16,42.4,42.4
2/08/2015,1,17,42.16,42.16
2/08/2015,1,18,42.98,42.98
2/08/2015,1,19,46.06,46.06
2/08/2015,1,20,46.76,46.76
2/08/2015,1,21,49.11,49.11
2/08/2015,1,22,66.45,66.45
2/08/2015,1,23,69,69
2/08/2015,1,24,61.98,61.98
2/08/2015,2,1,54.5,54.5
2/08/2015,2,2,43.9,43.9
2/08/2015,2,3,43.66,43.66
2/08/2015,2,4,42,42
2/08/2015,2,5,45,45
2/08/2015,2,6,43.01,43.01
2/08/2015,2,7,42,42
2/08/2015,2,8,42.3,42.3
2/08/2015,2,9,41.88,41.88
2/08/2015,2,10,40.85,40.85
2/08/2015,2,11,42.55,42.55
2/08/2015,2,12,45,45
2/08/2015,2,13,45,45
2/08/2015,2,14,45,45
2/08/2015,2,15,45,45
2/08/2015,2,16,42.4,42.4
2/08/2015,2,17,42,42
2/08/2015,2,18,42.17,42.17
2/08/2015,2,19,44.69,44.69
2/08/2015,2,20,45,45
2/08/2015,2,21,45.1,45.1
2/08/2015,2,22,66.01,66.01
2/08/2015,2,23,69.21,69.21
2/08/2015,2,24,62.03,62.03
2/08/2015,3,5,42.1,42.1
2/08/2015,3,6,44,44
2/08/2015,3,7,43.6,43.6
2/08/2015,3,8,42.3,42.3
2/08/2015,3,9,41.88,41.88
2/08/2015,3,10,42.63,42.63
2/08/2015,3,11,43,43
2/08/2015,3,12,45,45
2/08/2015,3,13,45.88,45.88
2/08/2015,3,14,44.18,44.18
2/08/2015,3,15,43.05,43.05
2/08/2015,3,16,40.56,40.56
2/08/2015,3,17,40.17,40.17
2/08/2015,3,18,40.16,40.16
2/08/2015,3,19,42.56,42.56
2/08/2015,3,20,44.76,44.76
2/08/2015,3,21,49.56,49.56
2/08/2015,3,22,68.5,68.5
2/08/2015,3,23,69.96,69.96
2/08/2015,3,24,63.48,63.48
2/08/2015,4,8,42.3,42.3
2/08/2015,4,9,40.16,40.16
2/08/2015,4,10,43.6,43.6
2/08/2015,4,11,41.12,41.12
2/08/2015,4,12,46,46
2/08/2015,4,13,44.78,44.78
2/08/2015,4,14,42.68,42.68
2/08/2015,4,15,41.01,41.01
2/08/2015,4,16,40.16,40.16
2/08/2015,4,17,40.16,40.16
2/08/2015,4,18,40.16,40.16
2/08/2015,4,19,41.14,41.14
2/08/2015,4,20,40.76,40.76
2/08/2015,4,21,42,42
2/08/2015,4,22,65,65
2/08/2015,4,23,68.28,68.28
2/08/2015,4,24,63.48,63.48
2/08/2015,5,12,47,47
2/08/2015,5,13,47,47
2/08/2015,5,14,46.29,46.29
2/08/2015,5,15,44,44
2/08/2015,5,16,41.38,41.38
2/08/2015,5,17,40.16,40.16
2/08/2015,5,18,40.41,40.41
2/08/2015,5,19,42.56,42.56
2/08/2015,5,20,43.76,43.76
2/08/2015,5,21,47.62,47.62
2/08/2015,5,22,65.5,65.5
2/08/2015,5,23,69.78,69.78
2/08/2015,5,24,64.22,64.22
2/08/2015,6,16,43.8,43.8
2/08/2015,6,17,43.5,43.5
2/08/2015,6,18,46.5,46.5
2/08/2015,6,19,47.71,47.71
2/08/2015,6,20,47.33,47.33
2/08/2015,6,21,50.86,50.86
2/08/2015,6,22,69,69
2/08/2015,6,23,70,70
2/08/2015,6,24,66.46,66.46
2/08/2015,7,22,69.5,69.5
2/08/2015,7,23,71,71
2/08/2015,7,24,67.96,67.96
3/08/2015,0,1,61.98,61.98
3/08/2015,0,2,48.62,48.62
3/08/2015,0,3,46.85,46.85
3/08/2015,0,4,46.85,46.85
3/08/2015,0,5,46.85,46.85
3/08/2015,0,6,47.1,47.1
3/08/2015,0,7,60,60
3/08/2015,0,8,63.49,63.49
3/08/2015,0,9,66.1,66.1
3/08/2015,0,10,68.82,68.82
3/08/2015,0,11,70,70
3/08/2015,0,12,69.67,69.67
3/08/2015,0,13,69.4,69.4
3/08/2015,0,14,68.69,68.69
3/08/2015,0,15,63.49,63.49
3/08/2015,0,16,62.47,62.47
3/08/2015,0,17,61.98,61.98
3/08/2015,0,18,62.93,62.93
3/08/2015,0,19,62.93,62.93
3/08/2015,0,20,62.93,62.93
3/08/2015,0,21,63.03,63.03
3/08/2015,0,22,68.46,68.46
3/08/2015,0,23,67.6,67.6
3/08/2015,0,24,61.98,61.98
3/08/2015,1,1,70.37,70.37
3/08/2015,1,2,53.8,53.8
3/08/2015,1,3,51.5,51.5
3/08/2015,1,4,49.75,49.75
3/08/2015,1,5,49.25,49.25
3/08/2015,1,6,49.11,49.11
3/08/2015,1,7,61.14,61.14
3/08/2015,1,8,67.49,67.49
3/08/2015,1,9,68.99,68.99
3/08/2015,1,10,69.33,69.33
3/08/2015,1,11,71.27,71.27
3/08/2015,1,12,70.17,70.17
3/08/2015,1,13,69.93,69.93
3/08/2015,1,14,68.69,68.69
3/08/2015,1,15,65.43,65.43
3/08/2015,1,16,62.47,62.47
3/08/2015,1,17,61.01,61.01
3/08/2015,1,18,62.66,62.66
3/08/2015,1,19,62.87,62.87
3/08/2015,1,20,62.87,62.87
3/08/2015,1,21,62.97,62.97
3/08/2015,1,22,68.46,68.46
3/08/2015,1,23,68.6,68.6
3/08/2015,1,24,63.85,63.85
3/08/2015,2,1,70.77,70.77
3/08/2015,2,2,55.17,55.17
3/08/2015,2,3,51.85,51.85
3/08/2015,2,4,50,50
3/08/2015,2,5,49.5,49.5
3/08/2015,2,6,49.14,49.14
3/08/2015,2,7,61.14,61.14
3/08/2015,2,8,66.16,66.16
3/08/2015,2,9,69.41,69.41
3/08/2015,2,10,69.33,69.33
3/08/2015,2,11,70.5,70.5
3/08/2015,2,12,69.39,69.39
3/08/2015,2,13,69.4,69.4
3/08/2015,2,14,68.69,68.69
3/08/2015,2,15,65.54,65.54
3/08/2015,2,16,62.47,62.47
3/08/2015,2,17,61.98,61.98
3/08/2015,2,18,62.93,62.93
3/08/2015,2,19,63.43,63.43
3/08/2015,2,20,63.31,63.31
3/08/2015,2,21,64.58,64.58
3/08/2015,2,22,69.76,69.76
3/08/2015,2,23,70.01,70.01
3/08/2015,2,24,66.98,66.98
3/08/2015,3,5,49.63,49.63
3/08/2015,3,6,49.33,49.33
3/08/2015,3,7,60.45,60.45
3/08/2015,3,8,68.35,68.35
3/08/2015,3,9,69.52,69.52
3/08/2015,3,10,68.82,68.82
3/08/2015,3,11,67.87,67.87
3/08/2015,3,12,67.27,67.27
3/08/2015,3,13,66.73,66.73
3/08/2015,3,14,66.05,66.05
3/08/2015,3,15,61.05,61.05
3/08/2015,3,16,59.9,59.9
3/08/2015,3,17,59.4,59.4
3/08/2015,3,18,61.04,61.04
3/08/2015,3,19,60.6,60.6
3/08/2015,3,20,62.93,62.93
3/08/2015,3,21,64.27,64.27
3/08/2015,3,22,69.98,69.98
3/08/2015,3,23,70.07,70.07
3/08/2015,3,24,68.16,68.16
3/08/2015,4,8,66.49,66.49
3/08/2015,4,9,66.1,66.1
3/08/2015,4,10,60.06,60.06
3/08/2015,4,11,60.06,60.06
3/08/2015,4,12,65.67,65.67
3/08/2015,4,13,64,64
3/08/2015,4,14,64.69,64.69
3/08/2015,4,15,59.49,59.49
3/08/2015,4,16,57.47,57.47
3/08/2015,4,17,55.8,55.8
3/08/2015,4,18,57.93,57.93
3/08/2015,4,19,57.93,57.93
3/08/2015,4,20,59.78,59.78
3/08/2015,4,21,62.53,62.53
3/08/2015,4,22,68.46,68.46
3/08/2015,4,23,67.6,67.6
3/08/2015,4,24,64.98,64.98
3/08/2015,5,12,60.06,60.06
3/08/2015,5,13,60.06,60.06
3/08/2015,5,14,60.06,60.06
3/08/2015,5,15,59.5,59.5
3/08/2015,5,16,59.35,59.35
3/08/2015,5,17,57.77,57.77
3/08/2015,5,18,60.1,60.1
3/08/2015,5,19,59.78,59.78
3/08/2015,5,20,62.43,62.43
3/08/2015,5,21,63.03,63.03
3/08/2015,5,22,67.41,67.41
3/08/2015,5,23,67.1,67.1
3/08/2015,5,24,61.98,61.98
3/08/2015,6,16,61.51,61.51
3/08/2015,6,17,60.3,60.3
3/08/2015,6,18,61.93,61.93
3/08/2015,6,19,61.94,61.94
3/08/2015,6,20,59.78,59.78
3/08/2015,6,21,60.6,60.6
3/08/2015,6,22,61.67,61.67
3/08/2015,6,23,60.87,60.87
3/08/2015,6,24,60.98,60.98
3/08/2015,7,22,60.5,60.5
3/08/2015,7,23,62.6,62.6
3/08/2015,7,24,61.99,61.99
4/08/2015,0,1,62.47,62.47
4/08/2015,0,2,51.79,51.79
4/08/2015,0,3,48.5,48.5
4/08/2015,0,4,48.34,48.34
4/08/2015,0,5,48.09,48.09
4/08/2015,0,6,48.5,48.5
4/08/2015,0,7,52.54,52.54
4/08/2015,0,8,54.36,54.36
4/08/2015,0,9,61.1,61.1
4/08/2015,0,10,65.48,65.48
4/08/2015,0,11,66.99,66.99
4/08/2015,0,12,68.46,68.46
4/08/2015,0,13,69.17,69.17
4/08/2015,0,14,69.69,69.69
4/08/2015,0,15,68.46,68.46
4/08/2015,0,16,66.96,66.96
4/08/2015,0,17,66.96,66.96
4/08/2015,0,18,66.99,66.99
4/08/2015,0,19,66.57,66.57
4/08/2015,0,20,65.48,65.48
4/08/2015,0,21,65.48,65.48
4/08/2015,0,22,68.72,68.72
4/08/2015,0,23,66.99,66.99
4/08/2015,0,24,62.93,62.93
4/08/2015,1,1,62.47,62.47
4/08/2015,1,2,49.56,49.56
4/08/2015,1,3,48.34,48.34
4/08/2015,1,4,48.57,48.57
4/08/2015,1,5,48.47,48.47
4/08/2015,1,6,48.29,48.29
4/08/2015,1,7,51.3,51.3
4/08/2015,1,8,52.86,52.86
4/08/2015,1,9,59.6,59.6
4/08/2015,1,10,63.52,63.52
4/08/2015,1,11,65.89,65.89
4/08/2015,1,12,67.21,67.21
4/08/2015,1,13,68.26,68.26
4/08/2015,1,14,69.69,69.69
4/08/2015,1,15,68.46,68.46
4/08/2015,1,16,66.96,66.96
4/08/2015,1,17,66.96,66.96
4/08/2015,1,18,66.99,66.99
4/08/2015,1,19,66.82,66.82
4/08/2015,1,20,65.73,65.73
4/08/2015,1,21,65.73,65.73
4/08/2015,1,22,69,69
4/08/2015,1,23,66.99,66.99
4/08/2015,1,24,61.93,61.93
4/08/2015,2,1,58.35,58.35
4/08/2015,2,2,48.59,48.59
4/08/2015,2,3,48.34,48.34
4/08/2015,2,4,48.09,48.09
4/08/2015,2,5,47.79,47.79
4/08/2015,2,6,47.79,47.79
4/08/2015,2,7,48.34,48.34
